Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal",,1,2,1,3,,7,,,,,,,,7,
,,,,1,,,1,,,,1,1,,,2,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,,,
,,1,2,2,3,,8,,,,2,2,,,10,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,1,2,1,,,4,,,,,,1,1,5,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD MARS SABX SRPH
Subtotal Total",,,,,,,,,,,,,,,
,,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1,2,1,,,4,,1,1,,,1,1,6,
,,4,3,1,,,8,,,,,,,,8,
,,4,3,1,,,8,,,,,,,,8,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,13,25,30,53,1,122,2,9,11,10,10,1,1,144,
"Prepared by DARS, 19 Jun 12",,,,,,,,,,,,,,,,
