Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,,2,,,,2,,,,,,,,2
,BMEN,,1,,,,1,,,,,,,,1
,CHEN,,,1,1,,2,,,,,,,,2
,CLEN,,,,,,,,,,,,,,
,CSCE,2,1,,2,,5,,,,,,,,5
,CVEN,1,,1,,,2,,,,,,,,2
,ECEN,,,,,,,,,,,,,,
,ETID,1,,,1,,2,,,,,,,,2
,ISEN,,,,1,,1,,,,,,,,1
,MEEN,,2,,3,,5,,,,1,1,,,6
,NUEN,,,,1,,1,,,,,,,,1
,PETE,,1,2,,,3,,1,1,,,,,4
,Subtotal,4,7,4,9,,24,,1,1,1,1,,,26
"G. Bush School of Govt
Geosciences
Liberal Arts",BUSH,,,,,,,2,2,4,,,,,4
,Subtotal,,,,,,,2,2,4,,,,,4
,ATMO,,,,,,,,,,,,,,
,CLGE,,,1,,,1,,,,,,,,1
,GEOG,,,1,1,,2,,,,,,,,2
,GEPL,,,,,,,,,,,,,,
,OCNG,,,,,,,,1,1,,,,,1
,Subtotal,,,2,1,,3,,1,1,,,,,4
,ANTH,,,,,,,,,,,,,,
,CLED,,,,,,,,,,,,,,
,CLLA,,,1,1,,2,,,,,,,,2
,COMM,,1,,1,,2,,,,,,,,2
,ECON,,,,1,,1,,,,,,,,1
,ENGL,,2,2,2,,6,,,,,,,,6
,EURO,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,,,,2,,2,,,,,,,,2
,PHUM,,,,1,,1,,,,1,1,,,2
,POLS,,1,2,1,,4,,,,,,,,4
,PRFM,,,,,,,,,,,,,,
,PSYC,,1,,3,,4,,,,,,,,4
,SOCI,,2,1,1,,4,,,,1,1,,,5
,Subtotal,,7,6,13,,26,,,,2,2,,,28
