Spring 2012,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Agriculture,POSC,120,2,,7,27,,2,8,,166
,PPRO,1,,,,,,,,,1
,PREP,5,,,,3,1,,3,,12
,PSSC,5,,,,,,1,,,6
,RENR,46,2,,1,6,,,,1,56
,RLEM,75,,1,1,16,,3,8,,104
,RPTS,367,1,8,17,42,1,7,29,,472
,SOSC,20,,2,1,1,,,4,,28
,SPSA,18,,1,1,5,,2,,,27
,TOXI,1,,,,,,,1,,2
,USAL,96,,1,6,16,,1,,,120
,WFSC,337,1,3,9,109,,4,21,3,487
,WISC,14,,,,1,,,,,15
,WMHS,12,,,1,,,,2,,15
,Subtotal,"4,889",33,192,209,928,4,115,438,15,"6,823"
Architecture,ARCH,62,2,8,2,14,,,67,2,157
,COMG,15,,,1,4,,1,22,,43
,COSC,289,3,3,5,47,,5,1,,353
,COSL,174,1,1,3,37,,3,2,,221
,ENDL,121,,8,2,47,,3,1,,182
,ENDS,99,,8,2,42,,4,1,,156
,LAND,57,,3,,12,,4,30,,106
,LANL,29,,1,1,12,,1,,,44
,LDEV,19,,,2,3,,,8,1,33
,NUTR,,,,,,,,1,,1
,URPL,26,,,,4,,1,15,1,47
,URSC,48,,4,7,30,1,,41,,131
,USAR,30,,1,1,12,,1,,,45
,VISL,91,,6,2,21,,2,1,1,124
,VIST,104,1,7,1,20,,1,14,1,149
,Subtotal,"1,164",7,50,29,305,1,26,204,6,"1,792"
