Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERL,7,5,,,,12,,,,,,,,12
,AERO,,3,2,5,,10,,2,2,,,,,12
,BIOT,,,,,,,,,,,,,,
,BMEL,3,4,,,,7,,,,,,,,7
,BMEN,,,3,6,,9,,1,1,,,,,10
,CECL,1,1,1,,,3,,,,,,,,3
,CECN,,,,1,,1,,,,,,,,1
,CEEL,,,,,,,,,,,,,,
,CEEN,,1,3,1,,5,,,,,,,,5
,CHEL,1,1,,,,2,,,,,,,,2
,CHEN,,1,2,6,,9,,1,1,,,,,10
,CPSC,,,1,1,,2,,2,2,,,,,4
,CPSL,1,,4,,,5,,,,,,,,5
,CVEL,5,,,,,5,,,,,,,,5
,CVEN,,,,3,,3,,,,1,1,,,4
,ELEL,3,6,,1,,10,,,,,,,,10
,ELEN,,1,2,4,,7,,1,1,1,1,,,9
,ENGR,,,,,,,,,,,,,,
,ENSM,,,,,,,,,,,,,,
,ENTC,,,,4,,4,,,,,,,,4
,ENTL,,2,,1,,3,,,,,,,,3
,HLPH,,,,,,,,,,,,,,
,IDIL,1,1,1,,,3,,,,,,,,3
,IDIS,,1,1,2,,4,,,,,,,,4
,INEL,,,,,,,,,,,,,,
,INEN,,2,5,2,,9,,1,1,,,,,10
,ITDE,,,,,,,,,,,,,,
,MEEL,2,3,1,,,6,,,,,,,,6
,MEEN,,2,1,3,,6,,3,3,,,,,9
,MSEN,,,,,,,,,,1,1,,,1
,NUEL,,2,,,,2,,,,,,,,2
,NUEN,,,,2,,2,,2,2,,,,,4
,OCEL,1,,,,,1,,,,,,,,1
,OCEN,,1,2,,,3,,,,,,,,3
,PETE,,,1,2,,3,,2,2,,,,,5
,PETL,2,3,2,,,7,,,,,,,,7
,RHEL,,,,,,,,,,,,,,
,RHEN,,1,2,,,3,,,,,,,,3
,SENG,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,
,Subtotal,27,41,34,44,,146,,15,15,3,3,,,164
