Spring 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Agriculture,MEPS,,6,18,,24
,NRDV,,32,,,32
,NUSC,433,,,,433
,NUTR,,20,17,,37
,PLBR,,20,30,,50
,PLPA,,9,21,,30
,POSC,138,18,10,,166
,PPRO,,1,,,1
,PREP,,5,7,,12
,PSSC,6,,,,6
,RENR,56,,,,56
,RLEM,56,21,27,,104
,RPTS,409,23,40,,472
,SOSC,,10,18,,28
,SPSA,27,,,,27
,TOXI,,,2,,2
,USAL,120,,,,120
,WFSC,379,54,54,,487
,WISC,,15,,,15
,WMHS,,10,5,,15
,Subtotal,"5,550",651,622,,"6,823"
