Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Liberal Arts,"USLA WGST
Subtotal",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,16,34,75,98,,223,1,4,5,14,14,,,242,
"Science
Veterinary Medicine
General Studies
Other - Special Populations
University",APHY,,,,,,,,,,,,,,,
,APMS,1,3,6,4,,14,,,,,,,,14,
,BIOL,31,36,37,55,,159,,2,2,2,2,,,163,
,BMCB,5,1,3,4,,13,,,,,,,,13,
,BOTN,,,,,,,,,,,,,,,
,CHEM,12,8,5,6,,31,,4,4,6,6,,,41,
,GENE,,,,,,,,,,,,,,,
,MATH,4,,,4,,8,1,1,2,2,2,,,12,
,MBIO,1,3,3,2,,9,,,,,,,,9,
,MSEN,,,,,,,,,,,,,,,
,PHYS,2,1,1,,,4,,1,1,3,3,,,8,
,STAT,,,,,,,5,9,14,,,,,14,
,USSC,,,,1,,1,,,,,,,,1,
,ZOOL,,,,,,,,,,,,,,,
,Subtotal,56,52,55,76,,239,6,17,23,13,13,,,275,
,BIMS,22,41,36,51,1,151,,6,6,2,2,,,159,
,BIOT,,,,,,,,,,,,,,,
,EPID,,,,,,,,1,1,,,,,1,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,16,16,16,
,VTMI,,,,,,,,,,,,,,,
,Subtotal,22,41,36,51,1,151,,7,7,2,2,16,16,176,
,GEST,91,86,11,,,188,,,,,,,,188,
,TEAM,6,6,,,,12,,,,,,,,12,
,Subtotal,97,92,11,,,200,,,,,,,,200,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,,,,,,,,,
,PHLT,,,,,,,2,,2,,,,,2,
,REEP,,,,,,,,,,,,,,,
,Subtotal,,,,,,,2,,2,,,,,2,
,Total,323,390,399,660,6,"1,778",18,191,209,109,109,16,16,"2,112",
"Prepared by DARS, 20 Jun 12",,,,,,,,,,,,,,,,
