Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal",,10,14,13,13,,50,,,,1,1,,,51,
,,4,,1,3,,8,,2,2,4,4,,,14,
,,,,,1,,1,,,,,,,,1,
,,4,1,2,4,,11,1,,1,1,1,,,13,
,,,,,,,,,1,1,2,2,,,3,
,,,,,,,,,2,2,,,,,2,
,,18,15,16,21,,70,1,5,6,8,8,,,84,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,13,15,9,9,,46,,1,1,,,5,5,52,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD MARS SABX SRPH
Subtotal Total",,,,,,,,2,2,,,,,2,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,2,,,2,
,,,,,,,,,1,1,,,,,1,
,,13,15,9,9,,46,,4,4,2,2,5,5,57,
,,92,76,8,,,176,,,,,,,,176,
,,92,76,8,,,176,,,,,,,,176,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,3,,3,,,,,3,
,,,,,,,,3,,3,,,,,3,
,,232,263,297,421,4,"1,217",26,140,166,205,205,5,5,"1,593",
"Prepared by DARS, 19 Jun 12",,,,,,,,,,,,,,,,
