Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERL,26,19,6,1,,52,,,,,,,,52
,AERO,,2,15,31,1,49,,3,3,4,4,,,56
,BIOT,,,,,,,,2,2,,,,,2
,BMEL,10,16,3,,,29,,,,,,,,29
,BMEN,,3,8,19,,30,,4,4,4,4,,,38
,CECL,17,9,3,4,,33,,,,,,,,33
,CECN,,2,3,10,1,16,1,2,3,,,,,19
,CEEL,9,10,7,,,26,,,,,,,,26
,CEEN,,3,3,3,,9,,,,,,,,9
,CHEL,10,15,3,4,,32,,,,,,,,32
,CHEN,,1,10,44,,55,,,,6,6,,,61
,CPSC,,2,5,22,,29,,5,5,,,,,34
,CPSL,10,15,6,4,,35,,,,,,,,35
,CVEL,23,16,4,,,43,,,,,,,,43
,CVEN,,18,27,55,,100,,20,20,,,,,120
,ELEL,23,20,5,4,,52,,,,,,,,52
,ELEN,,6,24,48,2,80,,5,5,11,11,,,96
,ENGR,,,,,,,,,,1,1,,,1
,ENSM,,,,,,,,1,1,,,,,1
,ENTC,,,8,34,,42,,,,,,,,42
,ENTL,5,9,23,4,,41,,,,,,,,41
,HLPH,,,,,,,,,,,,,,
,IDIL,2,6,6,4,,18,,,,,,,,18
,IDIS,,2,20,31,,53,,5,5,,,,,58
,INEL,13,6,8,3,,30,,,,,,,,30
,INEN,,4,15,72,1,92,,11,11,2,2,,,105
,ITDE,,,,,,,,,,,,,,
,MEEL,28,13,5,,,46,,,,,,,,46
,MEEN,,15,19,55,1,90,,18,18,7,7,,,115
,MSEN,,,,,,,,,,,,,,
,NUEL,2,5,1,,,8,,,,,,,,8
,NUEN,1,6,8,10,,25,,6,6,2,2,,,33
,OCEL,3,,1,,,4,,,,,,,,4
,OCEN,,3,2,9,,14,,1,1,,,,,15
,PETE,,2,6,26,,34,,18,18,5,5,,,57
,PETL,11,10,14,8,,43,,,,,,,,43
,RHEL,2,1,,,,3,,,,,,,,3
,RHEN,,2,2,3,,7,,,,,,,,7
,SENG,,,,,,,,,,,,,,
,USEN,,,,1,,1,,,,,,,,1
,Subtotal,195,241,270,509,6,"1,221",1,101,102,42,42,,,"1,365"
