Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,SPSA,,1,1,3,,5,,,,,,,,5,
,TOXI,,,,,,,,,,,,,,,
,USAL,,1,5,10,,16,,,,,,,,16,
,WFSC,5,15,20,41,,81,,14,14,14,14,,,109,
,WISC,,,,,,,,1,1,,,,,1,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,77,161,201,375,3,817,1,55,56,55,55,,,928,
"Architecture
Business Admin",ARCH,,,,,,,,12,12,2,2,,,14,
,COMG,,,,,,,1,3,4,,,,,4,
,COSC,,,10,36,1,47,,,,,,,,47,
,COSL,8,11,16,1,1,37,,,,,,,,37,
,ENDL,13,22,10,2,,47,,,,,,,,47,
,ENDS,,,6,36,,42,,,,,,,,42,
,LAND,,,2,10,,12,,,,,,,,12,
,LANL,3,7,2,,,12,,,,,,,,12,
,LDEV,,,,,,,,3,3,,,,,3,
,NUTR,,,,,,,,,,,,,,,
,URPL,,,,,,,,4,4,,,,,4,
,URSC,4,7,6,11,,28,,,,2,2,,,30,
,USAR,,,5,7,,12,,,,,,,,12,
,VISL,6,6,6,3,,21,,,,,,,,21,
,VIST,,,3,11,,14,,6,6,,,,,20,
,Subtotal,34,53,66,117,2,272,1,28,29,4,4,,,305,
,ACCT,,,33,32,,65,,4,4,,,,,69,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,1,7,7,,15,,,,,,,,15,
,BUAD,53,118,20,1,,192,,,,,,,,192,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,15,15,,,,,15,
,FINC,,,25,37,,62,,9,9,1,1,,,72,
,INFO,,,25,43,,68,,,,,,,,68,
,MGMT,,,13,13,,26,,3,3,,,,,29,
,MISY,,,,,,,,6,6,,,,,6,
,MKTG,,,13,27,,40,,3,3,,,,,43,
,MLER,,,,,,,,6,6,,,,,6,
,USBU,,,5,9,,14,,,,,,,,14,
,Subtotal,53,119,141,169,,482,,46,46,1,1,,,529,
