Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,SPSA,,,,1,,1,,,,,,,,1,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,,1,,1,,,,,,,,1,
,WFSC,,1,,1,,2,,1,1,,,,,3,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,23,26,33,83,4,169,1,11,12,11,11,,,192,
"Architecture
Business Admin",ARCH,,,,,,,,4,4,4,4,,,8,
,COMG,,,,,,,,,,,,,,,
,COSC,,,1,2,,3,,,,,,,,3,
,COSL,,1,,,,1,,,,,,,,1,
,ENDL,6,1,1,,,8,,,,,,,,8,
,ENDS,,,2,6,,8,,,,,,,,8,
,LAND,,,,3,,3,,,,,,,,3,
,LANL,,1,,,,1,,,,,,,,1,
,LDEV,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,URPL,,,,,,,,,,,,,,,
,URSC,2,,,,,2,,,,2,2,,,4,
,USAR,,,,1,,1,,,,,,,,1,
,VISL,3,2,1,,,6,,,,,,,,6,
,VIST,,,,,,,,7,7,,,,,7,
,Subtotal,11,5,5,12,,33,,11,11,6,6,,,50,
,ACCT,,1,20,21,,42,,6,6,3,3,,,51,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,,7,,7,,,,,,,,7,
,BUAD,23,46,4,,,73,1,14,15,,,,,88,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,7,7,,,,,7,
,FINC,,1,8,17,,26,1,2,3,2,2,,,31,
,INFO,,1,11,20,,32,,,,,,,,32,
,MGMT,,,3,8,,11,,3,3,2,2,,,16,
,MISY,,,,,,,,7,7,,,,,7,
,MKTG,,,4,5,,9,,1,1,,,,,10,
,MLER,,,,,,,,1,1,,,,,1,
,USBU,,,1,3,,4,,,,,,,,4,
,Subtotal,23,49,51,81,,204,2,41,43,7,7,,,254,
