Spring 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Science,APHY,,1,9,,10
,APMS,155,,,,155
,BIOL,"1,145",20,50,,"1,215"
,BMCB,94,,,,94
,BOTN,,,2,,2
,CHEM,272,52,218,,542
,GENE,,,2,,2
,MATH,235,62,93,,390
,MBIO,82,3,11,,96
,MSEN,,1,1,,2
,PHYS,126,58,110,,294
,STAT,,114,49,,163
,USSC,18,,,,18
,ZOOL,74,1,11,,86
,Subtotal,"2,201",312,556,,"3,069"
Veterinary Medicine,BIMS,"1,517",55,36,,"1,608"
,BIOT,,1,,,1
,EPID,,1,,,1
,GENE,,1,6,,7
,LAMD,,2,,,2
,NUTR,,,1,,1
,STJR,,6,,,6
,TOXI,,4,12,,16
,USVM,1,,,,1
,VPAT,,5,12,,17
,VPHY,,,1,,1
,VTMD,,,,520,520
,VTMI,,2,11,,13
,Subtotal,"1,518",77,79,520,"2,194"
