Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,7,,7,,,,,7
,CHLS,,,,,,,5,,5,,,,,5
,CNPM,,,,,,,4,,4,,,,,4
,INTA,,,,,,,,8,8,,,,,8
,PSAA,,,,,,,,12,12,,,,,12
,Subtotal,,,,,,,16,20,36,,,,,36
Geosciences,ATMO,,,,,,,,1,1,,,,,1
,ENGS,2,1,3,6,,12,,,,,,,,12
,ENST,3,2,4,7,,16,,,,,,,,16
,GEOG,1,4,2,5,,12,,5,5,1,1,,,18
,GEOL,6,4,9,10,,29,,2,2,,,,,31
,GEOP,1,,2,3,,6,,2,2,,,,,8
,MARB,,,,,,,,,,,,,,
,METR,2,3,8,10,1,24,,,,,,,,24
,OCNG,,,,,,,,3,3,1,1,,,4
,SPSG,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,
,WMHS,,,,,,,,3,3,,,,,3
,Subtotal,15,14,28,41,1,99,,16,16,2,2,,,117
Liberal Arts,AMST,,,,,,,,,,,,,,
,ANTH,4,15,13,21,,53,,,,4,4,,,57
,CLSS,,1,1,1,,3,,,,,,,,3
,COMM,6,22,30,41,,99,,,,5,5,,,104
,ECON,4,13,36,28,,81,,2,2,,,,,83
,ENGL,12,19,41,41,,113,,1,1,12,12,,,126
,FREN,,1,2,,,3,,,,,,,,3
,GERM,,,,,,,,,,,,,,
,HISP,,,,,,,,,,19,19,,,19
,HIST,7,16,35,40,,98,,1,1,7,7,,,106
,INTS,14,31,53,61,2,161,,,,,,,,161
,MODL,,,,,,,,2,2,,,,,2
,MUSC,,2,1,4,,7,,,,,,,,7
,NRSC,,,,,,,,1,1,1,1,,,2
,NUTR,,,,,,,,,,,,,,
,PERF,,,,,,,,1,1,,,,,1
,PHIL,2,2,3,2,,9,,2,2,4,4,,,15
,POLS,22,34,36,42,,134,,,,2,2,,,136
,PSYC,19,47,80,132,,278,,,,13,13,,,291
,RUSS,1,,2,1,,4,,,,,,,,4
,SOCI,3,13,24,58,,98,,9,9,25,25,,,132
,SPAN,3,7,13,19,,42,,,,,,,,42
,TCMS,3,8,11,5,,27,,,,,,,,27
,TECR,,,,,,,,,,,,,,
,THAR,2,1,2,3,,8,,,,,,,,8
