Spring 2012,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/ Black (,Excluding NEW),Interna,tional,Unknown or Not Reported,,Total,,Total
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
Engineering,AERL,31,143,,1,,11,,5,5,47,,,,12,,5,,,36,224,260
,AERO,48,276,,1,2,15,2,4,11,45,,,2,10,5,44,,3,70,398,468
,BIOT,,1,,,,3,,,1,1,,,,,6,6,,,7,11,18
,BMEL,42,54,,1,5,4,2,1,15,14,,,3,4,,1,,,67,79,146
,BMEN,76,120,,,14,22,3,5,18,20,,,3,7,13,20,1,2,128,196,324
,CECL,7,87,,1,1,10,2,4,3,30,1,,1,2,3,3,,,18,137,155
,CECN,9,87,1,1,4,10,,8,3,16,,,,1,9,63,,,26,186,212
,CEEL,2,53,,,5,6,,4,5,21,,,,,1,4,,,13,88,101
,CEEN,5,53,,,,4,,5,,9,,1,,5,13,73,,,18,150,168
,CHEL,33,87,,1,7,10,1,3,13,19,,,1,1,1,2,,,56,123,179
,CHEN,84,221,,1,13,30,5,13,27,34,,1,4,6,32,75,,3,165,384,549
,CPSC,19,185,,1,5,18,4,12,4,30,,1,,4,24,113,1,2,57,366,423
,CPSL,16,115,1,,4,15,,8,4,31,,,2,3,1,10,,1,28,183,211
,CVEL,45,118,,,4,3,2,3,12,31,,,1,4,,2,,,64,161,225
,CVEN,123,381,,,8,23,3,15,38,82,,1,1,3,58,162,2,1,233,668,901
,ELEL,26,187,,,6,34,3,5,10,42,,,1,9,2,13,,2,48,292,340
,ELEN,31,231,,,9,65,4,11,12,84,,2,2,7,51,291,1,2,110,693,803
,ENGR,,1,,,1,1,,,,1,,,,,,1,,,1,4,5
,ENSM,2,6,,,,1,1,1,1,,,,,,1,,,1,5,9,14
,ENTC,8,154,,,,12,1,8,5,37,,,,4,,4,,,14,219,233
,ENTL,7,105,,,2,6,2,6,4,37,,,,3,,3,,,15,160,175
,HLPH,3,6,,,,,1,,,,,,,,,,,,4,6,10
,IDIL,10,95,,1,1,,1,3,5,13,,,,3,1,2,,,18,117,135
,IDIS,53,272,,1,3,5,5,3,7,51,,,1,3,,6,,,69,341,410
,INEL,19,79,,,1,7,1,5,6,24,,1,,,3,9,,2,30,127,157
,INEN,43,248,1,,7,28,6,18,24,81,,,2,8,53,130,2,2,138,515,653
,ITDE,,1,,,1,,,,,,,,,,,,,,1,1,2
,MEEL,31,230,,1,,5,3,4,7,39,,,,6,,1,,,41,286,327
,MEEN,99,565,1,4,8,39,4,18,22,93,1,1,1,8,47,192,,2,183,922,"1,105"
,MSEN,4,14,,,2,3,1,,,,,,,1,20,47,,,27,65,92
,NUEL,8,34,,,1,1,,,2,6,,,,2,,1,,,11,44,55
,NUEN,24,162,,,1,9,1,7,5,28,,,,4,6,45,1,1,38,256,294
,OCEL,6,12,,1,,1,,,3,1,,,,1,,1,,1,9,18,27
,OCEN,7,72,,1,1,2,1,2,,15,,2,,3,3,40,,,12,137,149
,PETE,49,239,,2,7,22,2,9,9,48,,,2,3,59,175,2,5,130,503,633
,PETL,38,223,,2,6,12,1,13,5,38,,,1,6,3,15,,1,54,310,364
,RHEL,6,6,,,,1,1,,2,1,,,,,,,,,9,8,17
,RHEN,16,10,,1,1,3,1,1,3,4,1,,,3,,1,,,22,23,45
,SENG,,2,,,,,,1,,,,,,,3,6,,,3,9,12
,USEN,,1,,,,,,,,1,,,,,,,,,,2,2
,Subtotal,"1,030","4,936",4,22,130,441,64,205,291,"1,074",3,10,28,136,418,"1,566",10,31,"1,978","8,421","10,399"
"G. Bush School of Govt
Geosciences",CAIA,12,25,,,2,,2,2,2,5,,1,,,,,1,1,19,34,53
,CHLS,4,11,,2,,1,2,1,3,2,,,,1,,,,,9,18,27
,CNPM,18,6,,,,1,5,2,3,1,,,,,,,,,26,10,36
,INTA,39,50,,,5,3,2,,5,3,1,,2,1,7,3,,,61,60,121
,PSAA,31,35,2,,,3,2,4,3,9,,,2,,9,6,,,49,57,106
,Subtotal,104,127,2,2,7,8,13,9,16,20,1,1,4,2,16,9,1,1,164,179,343
,ATMO,8,23,,,,,,1,,1,,,,,3,13,,,11,38,49
,ENGS,43,55,,1,2,2,,1,8,4,1,,1,1,,,,,55,64,119
,ENST,40,38,1,,2,,,3,7,9,,,1,,,1,,,51,51,102
,GEOG,31,61,,1,1,,2,1,8,10,,,,3,7,10,,1,49,87,136
,GEOL,50,113,,,2,8,2,1,13,18,,,,3,15,20,,1,82,164,246
,GEOP,7,32,,,2,4,1,,1,7,,,1,,10,15,1,,23,58,81
,MARB,2,,,,,,,,,,,,,,,,,,2,,2
,METR,43,58,,,2,,1,4,10,14,,,,2,1,,,,57,78,135
,OCNG,24,15,1,,,2,1,,3,1,,,,,12,13,,1,41,32,73
,SPSG,1,3,,,,,,,,,,,,,,,,,1,3,4
,USGE,1,1,,,,,,,,,,,,,,,,,1,1,2
,WMHS,2,12,,,,,1,,1,2,,,1,,6,8,,,11,22,33
,Subtotal,252,411,2,2,11,16,8,11,51,66,1,,4,9,54,80,1,3,384,598,982
