"Fall 2005
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
2
1
2
1
4
6
1
7
10
10
39
39
101","Sophomore
2
2
1
1
2
4
1
5
1
1
6
6
59","Junior
1
1
1
2
8
1
1
1
1
4
19
4
4
1
1
1
1
143","Senior
1
1
1
1
1
3
1
1
2
2
12
1
1
2
6
6
208","PB
2","Total
1
5
6
1
3
5
12
2
1
2
2
3
6
37
15
1
2
18
8
8
17
17
39
39
513",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,12,3,3,17,17,1,1,20,
,,,,,,,,4,4,16,16,,,21,
,,,,,,,,21,21,24,24,,,50,
,,,,,,,,7,7,13,13,,,20,
,,,,,,,,35,35,70,70,,,111,
,,,,,,,,10,10,5,5,,,16,
,,,,,,,,2,2,,,,,5,
,,,,,,,,5,5,4,4,,,14,
,,,,,,,,36,36,37,37,,,85,
,,,,,,,,5,5,21,21,,,28,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,2,2,,,4,
,,,,,,,,3,3,1,1,,,4,
,,,,,,,,1,1,15,15,,,18,
,,,,,,,,,,8,8,,,11,
,,,,,,,,2,2,11,11,,,19,
,,,,,,,,65,65,104,104,,,206,
,,,,,,,,13,13,16,16,,,44,
,,,,,,,,48,48,66,66,,,115,
,,,,,,,,10,10,36,36,,,46,
,,,,,,,,18,18,72,72,,,92,
,,,,,,,,18,18,26,26,,,44,
,,,,,,,,107,107,216,216,,,341,
,,,,,,,,,,,,,,9,
,,,,,,,,1,1,5,5,,,6,
,,,,,,,,1,1,,,,,1,
,,,,,,,,9,9,10,10,,,19,
,,,,,,,,,,7,7,,,7,
,,,,,,,,11,11,22,22,1,1,42,
,,,,,,,,,,,,,,17,
,,,,,,,,,,,,,,17,
,,,,,,,,,12,,,,,12,
,,,,,,,,52,52,83,83,,,135,
,,,,,,,17,,17,,,,,56,
,,,,,,,5,,5,,,,,5,
,,,,,,,34,52,86,83,83,,,208,
,,,,,,,49,"1,251","1,300","1,592","1,592",1,1,"3,406",
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,
