"Fall 2005
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
3
1
4
3
1
4
11
5
34
31
2
2
35
18
18
87
87
350","Sophomore
3
5
3
2
2
1
11
2
29
8
5
1
14
18
18
39
39
179","Junior
1
1
4
5
3
9
4
1
10
2
11
5
54
9
4
1
1
15
6
6
1
1
194","Senior
2
2
5
2
6
10
1
2
2
9
12
5
54
9
2
1
12
5
5
237",PB,"Total
3
3
14
15
10
26
1
11
4
25
3
45
17
171
57
13
5
1
76
47
47
127
127
960",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,3,3,1,
,,,,,,,,1,1,,,,,4,
,,,,,,,,1,1,,,,,1,
,,,,,,,,3,3,,,,,6,
,,,,,,,,,,,,,,14,
,,,,,,,,2,2,,,,,17,
,,,,,,,,,,,,,,10,
,,,,,,,,1,1,,,,,28,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,1,1,,,13,
,,,,,,,,,,,,,,4,
,,,,,,,,2,2,,,,,27,
,,,,,,,,,,,,,,3,
,,,,,,,,2,2,1,1,,,48,
,,,,,,,,6,6,4,4,,,27,
,,,,,,,,14,14,7,7,,,192,
,,,,,,,,1,1,,,,,58,
,,,,,,,,3,3,3,3,,,19,
,,,,,,,,2,2,,,,,7,
,,,,,,,,3,3,,,,,4,
,,,,,,,,,1,,,,,1,
,,,,,,,1,9,10,3,3,,,89,
,,,,,,,,,,,,,,50,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,1,1,1,1,3,3,52,
,,,,,,,,,,,,,,127,
,,,,,,,,,,,,,,127,
,,,,,,,,3,3,,,,,3,
,,,,,,,2,,2,,,,,2,
,,,,,,,2,3,5,,,,,5,
,,,,,,,15,141,156,134,134,3,3,"1,253",
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,
