"Fall 2005
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts            ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                   BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies      GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
207
48
216
214
66
751
227
486
915
597
820
31
132
771
129
1,044
93
1,283
406
6,934
1,560
549
428
255
78
2,870
2,489
30
6
3
65
14
2,607
3,827
3,827
18
303
1
56
25
403
44,578",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,70,91,1,,8,9,3,2,,,5,15,1,2,88,119,,
,21,17,,,5,1,3,1,,,,,,,29,19,,
,57,108,1,3,6,13,,2,1,2,6,15,,2,71,145,,
,46,100,,1,4,6,,4,,1,14,36,2,,66,148,,
,24,19,,,1,1,,1,,,10,10,,,35,31,,
,218,335,2,4,24,30,6,10,1,3,35,76,3,4,289,462,,
,107,81,,,7,9,2,1,,,5,11,1,3,122,105,,
,261,99,9,5,57,30,8,5,5,,2,3,1,1,343,143,,
,579,213,16,1,52,24,5,5,2,,11,3,3,1,668,247,,
,93,317,2,8,18,44,4,22,,,22,63,,4,139,458,,
,538,140,23,5,47,13,12,4,5,,19,9,5,,649,171,,
,19,4,,1,3,1,2,,,,,,,1,24,7,,
,62,19,,,25,23,,1,,,2,,,,89,43,,
,242,428,8,5,19,44,4,5,1,1,2,2,2,8,278,493,,
,23,81,3,1,4,6,2,2,,,,4,1,2,33,96,,
,333,504,21,6,47,81,7,18,2,3,7,11,2,2,419,625,,
,48,27,,3,7,8,,,,,,,,,55,38,,
,754,235,41,7,138,49,25,10,7,,6,5,5,1,976,307,,
,188,88,18,9,41,23,11,4,2,1,12,7,1,1,273,133,,
,"3,247","2,236",141,51,465,355,82,77,24,5,88,118,21,24,"4,068","2,866",,
,664,423,37,21,129,73,85,74,3,5,21,23,2,,941,619,,
,147,155,10,9,35,31,15,22,2,2,38,77,4,2,251,298,,
,171,141,6,1,17,24,10,7,,1,13,33,4,,221,207,,
,12,110,1,3,5,16,2,9,2,1,13,79,,2,35,220,,
,15,13,,1,,1,2,1,,,20,24,,1,37,41,,
,"1,009",842,54,35,186,145,114,113,7,9,105,236,10,5,"1,485","1,385",,
,"1,334",588,36,14,223,87,118,56,5,6,5,4,10,3,"1,731",758,,
,17,4,,,1,,2,,,,2,4,,,22,8,,
,4,1,,,,1,,,,,,,,,4,2,,
,1,,,,,,1,,,,1,,,,3,,,
,27,11,2,,3,2,,,,,9,10,,1,41,24,,
,4,1,,,1,,,1,,,3,4,,,8,6,,
,"1,387",605,38,14,228,90,121,57,5,6,20,22,10,4,"1,809",798,,
,"1,359","1,626",51,76,234,309,54,77,5,14,8,9,2,3,"1,713","2,114",,
,"1,359","1,626",51,76,234,309,54,77,5,14,8,9,2,3,"1,713","2,114",,
,2,4,,,,,,,,,8,4,,,10,8,,
,66,68,1,2,7,8,10,4,,,61,74,1,1,146,157,,
,1,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,16,40,,,16,40,,
,9,6,2,,2,,,,,,2,3,1,,16,9,,
,78,78,3,2,9,8,10,4,,,87,121,2,1,189,214,,
,"16,478","16,952",693,560,"2,240","2,302",687,824,93,111,980,"2,426",94,138,"21,265","23,313",,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,,,,
