"Fall 2005
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
1
1
5","Sophomore
1
1
2
5
5
10","Junior
1
1
1
1
4
1
1
24","Senior
1
1
2
2
2
1
4
4
3
1
17
1
1
1
3
4
4
70","PB
1","Total
1
1
2
2
2
3
4
1
5
2
4
2
25
1
1
2
1
5
4
4
5
5
110",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,1,1,9,9,3,
,,,,,,,,,,1,1,,,2,
,,,,,,,,1,1,,,,,2,
,,,,,,,,3,3,2,2,,,7,
,,,,,,,,1,1,3,3,,,4,
,,,,,,,,,,,,,,2,
,,,,,,,,,,2,2,,,4,
,,,,,,,,,,1,1,,,4,
,,,,,,,,1,1,,,,,5,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,4,4,,,10,
,,,,,,,,2,2,1,1,,,3,
,,,,,,,,2,2,,,,,4,
,,,,,,,,,,2,2,,,6,
,,,,,,,,,,,,,,2,
,,,,,,,,7,7,13,13,,,45,
,,,,,,,,,,1,1,,,2,
,,,,,,,,1,1,4,4,,,6,
,,,,,,,,2,2,,,,,4,
,,,,,,,,,,1,1,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,4,4,6,6,,,15,
,,,,,,,,,,,,,,13,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,9,9,14,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,5,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,1,,,,,1,
,,,,,,,1,,1,2,2,,,3,
,,,,,,,4,64,68,45,45,9,9,232,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,
