Country,Undergraduate,Masters,PhD,Professional,Total Students
Georgia (C.I.S.),,1,2,,3
Germany,3,12,7,,22
Ghana,1,4,2,,7
Greece,,1,8,,9
Guatemala,7,2,1,,10
Honduras,10,2,1,,13
Hong Kong,14,3,5,,22
Iceland,,,1,,1
India,90,441,231,,762
Indonesia,43,13,10,,66
Iran,5,7,19,,31
Iraq,1,5,1,,7
Ireland,,,1,,1
Israel,1,1,1,,3
Italy,2,3,4,,9
Jamaica,2,2,5,,9
Japan,9,14,14,,37
Jordan,2,3,9,,14
Kazakhstan,6,3,1,,10
Kenya,1,1,2,,4
"Korea, Republic of",29,131,375,,535
Kuwait,,1,2,,3
Lebanon,3,2,7,,12
Liberia,1,,,,1
Lithuania,2,,,,2
Macao,1,,,,1
Macedonia,,3,,,3
Malawi (Central Africa),,,1,,1
Malaysia,12,2,3,,17
Mali,,1,2,,3
Mauritius,,1,1,,2
Mexico,39,40,51,,130
Mongolia,1,,,,1
Morocco,1,,2,,3
Nepal,,1,2,,3
Netherlands,2,1,1,,4
New Zealand,1,,,,1
Nicaragua,6,,,,6
Niger,,,1,,1
Nigeria,22,28,6,,56
Norway,2,4,1,,7
Oman,,1,3,,4
Other Foreign or US,,1,,,1
Pakistan,14,12,7,,33
Panama,3,4,,,7
