"Fall 2005
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
6
2
8
1
23
13
2
12
1
3
17
2
26
6
44
13
163
81
17
14
8
120
128
128
331
331
1,251","Sophomore
7
7
9
16
7
10
8
4
1
33
4
28
5
125
43
12
6
2
63
52
52
188
188
816","Junior
2
1
4
5
12
4
23
24
22
14
1
12
15
2
38
46
17
218
25
8
4
37
38
38
24
24
829","Senior
2
3
12
2
19
4
32
15
27
20
2
13
23
2
25
5
53
16
237
48
5
9
3
65
62
62
1,080","PB
8","Total
17
6
16
7
46
9
87
68
58
56
4
36
59
7
122
15
171
51
743
197
42
33
13
285
280
280
543
543
3,984",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,3,2,2,30,30,17,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,19,
,,,,,,,,1,1,,,,,10,
,,,,,,,,2,2,,,,,2,
,,,,,,,1,5,6,2,2,,,54,
,,,,,,,,5,5,2,2,,,16,
,,,,,,,,,,,,,,87,
,,,,,,,1,5,6,2,2,,,76,
,,,,,,,,3,3,1,1,,,62,
,,,,,,,,,,4,4,,,60,
,,,,,,,,,,,,,,4,
,,,,,,,1,3,4,8,8,,,48,
,,,,,,,,4,4,,,,,63,
,,,,,,,,3,3,,,,,10,
,,,,,,,,3,3,3,3,,,128,
,,,,,,,,,,,,,,15,
,,,,,,,,8,8,8,8,,,187,
,,,,,,,,7,7,6,6,,,64,
,,,,,,,2,41,43,34,34,,,820,
,,,,,,,2,3,5,,,,,202,
,,,,,,,,7,7,17,17,,,66,
,,,,,,,,7,7,1,1,,,41,
,,,,,,,,6,6,2,2,,,21,
,,,,,,,,1,1,,,,,1,
,,,,,,,2,24,26,20,20,,,331,
,,,,,,,,,,,,,,310,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,3,3,2,2,,,5,
,,,,,,,,1,1,,,,,1,
,,,,,,,,6,6,2,2,30,30,318,
,,,,,,,,,,,,,,543,
,,,,,,,,,,,,,,543,
,,,,,,,,11,11,4,4,,,15,
,,,,,,,2,,2,,,,,2,
,,,,,,,2,11,13,4,4,,,17,
,,,,,,,21,300,321,207,207,30,30,"4,542",
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,
