Fall 2005,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,34,42,1,1,5,6,4,3,1,2,31,43,1,3,76,98,174,
,COMG,7,19,1,,,3,1,2,,,8,22,,,17,46,63,
,COSC,25,284,1,3,5,27,1,5,,,,2,,2,32,323,355,
,COSL,16,206,2,2,4,24,1,,,,,,,2,23,236,259,
,ENDL,132,125,1,4,17,27,12,6,,1,,1,,,163,164,327,
,ENDS,98,103,2,2,13,15,5,4,1,,3,1,1,,123,125,248,
,LAND,30,34,,1,3,8,,,,1,9,,,,42,44,86,
,LANL,18,48,,,5,2,1,1,,,,,,,24,51,75,
,LDEV,2,10,,1,1,1,,1,,,1,5,,2,4,20,24,
,URPL,7,9,,3,,1,,,,,2,10,,,9,23,32,
,URSC,2,8,1,,1,,,,,,11,27,,1,15,36,51,
,VIZA,13,30,1,,4,2,3,4,,,2,8,,1,23,45,68,
,Subtotal,384,918,10,17,58,116,28,26,2,4,67,119,2,11,551,"1,211",1762,
Business,ACCT,396,278,4,4,25,15,18,14,1,2,7,8,1,2,452,323,775,
Admin,AGBU,4,4,,,,1,,,,,,,,,4,5,9,
,BUAD,836,750,28,25,95,99,29,34,3,4,13,27,3,6,"1,007",945,1952,
,BUAG,6,8,,,,,,1,,,,,,,6,9,15,
,EMBA,3,24,1,,3,7,,2,,,,,,2,7,35,42,
,FINC,226,348,3,6,14,20,7,18,,2,4,12,,2,254,408,662,
,INFO,46,94,,2,4,5,1,4,,3,6,4,,1,57,113,170,
,MGMT,180,164,8,6,26,9,12,5,,1,6,4,2,1,234,190,424,
,MISY,19,21,2,,,,1,2,,,26,60,,,48,83,131,
,MKTG,391,162,7,2,22,9,7,7,2,1,5,10,,2,434,193,627,
,MLER,21,49,,,,3,,,,,,1,2,3,23,56,79,
,Subtotal,"2,128","1,902",53,45,189,168,75,87,6,13,67,126,8,19,"2,526","2,360",4886,
Education,CPSY,14,11,3,1,4,2,1,1,,,1,,1,,24,15,39,
,EDAD,116,77,23,12,37,18,,,2,,6,1,3,2,187,110,297,
,EDCI,208,30,40,7,23,7,5,,1,,25,4,3,1,305,49,354,
,EDHL,158,36,8,,19,4,4,3,,,,,,,189,43,232,
,EDIS,741,36,18,4,78,10,11,,4,1,,,,,852,51,903,
,EDKI,370,241,17,12,35,31,7,9,1,2,,,,,430,295,725,
,EDSM,73,134,4,11,3,18,1,,,,,1,,1,81,165,246,
,EDTC,16,7,1,,2,1,,,,,4,,,,23,8,31,
,EHRD,67,28,12,7,17,10,,2,,,17,4,1,2,114,53,167,
,EPSY,91,12,5,5,20,3,,,,1,23,7,,,139,28,167,
,HEED,11,7,7,1,1,,1,,,,3,1,1,,24,9,33,
,HLTH,104,8,3,2,9,2,1,1,,,1,,,,118,13,131,
,INST,980,33,12,2,94,6,7,2,5,,2,,2,,"1,102",43,1145,
,ISNC,163,100,9,4,15,26,1,6,1,1,1,1,,1,190,139,329,
,KINE,170,147,2,2,15,7,2,3,1,,2,11,,3,192,173,365,
,PHED,1,2,,,,2,,,,,1,1,,,2,5,7,
,SPMT,40,45,1,,1,8,,,,,,,,,42,53,95,
,SPSY,23,2,5,,8,3,4,,,,1,,,,41,5,46,
,TECR,12,10,,,3,,,1,,,,,,1,15,12,27,
,Subtotal,"3,358",966,170,70,384,158,45,28,15,5,87,31,11,11,"4,070","1,269",5339,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,,,,,
