Fall 2005,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Other -              AGBU
Special              BIOT
Populations       ENSM
FSTC GENE MARM MDSC MEPS MSEN NUTR PHLT PPHY REEP TOXI WMHS",,39,-4.9%,"36
20
11
22
16
1
18
10
6
14
25
17
12
9","100.0%
42.9%
100.0%
100.0%
100.0%
0.0%
80.0%
100.0%
20.0%
100.0%
-3.8%
21.4%
100.0%
100.0%","24
44
23
14
13
1
25
3","100.0%
100.0%
100.0%
55.6%
100.0%
100.0%
100.0%
100.0%",,,"36
20
11
46
60
1
18
33
20
27
25
1
56
37
12","100.0%
42.9%
100.0%
100.0%
100.0%
0.0%
80.0%
100.0%
42.9%
100.0%
-3.8%
100.0%
1.8%
100.0%
100.0%",
,Subtotal,39,-4.9%,217,210.0%,147,1533.3%,,,403,235.8%,
Total,,"36,066",0.9%,"4,669",-4.5%,"3,329",0.8%,514,0.6%,"44,578",0.3%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
