Fall 2005,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
"Other -                AGBU
Special                BIOT
Populations         ENSM FSTC GENE MARM MDSC MEPS MSEN NUTR PHLT PPHY REEP TOXI WMHS",,"8
5
3
7
17
1
2
4
9
9
9
4","13
6
4
5
16
4
7
1
5
6
6
5","1
2","1
1","1
1
2
1
2
2","2
1
3
1
1","2
3
4
1","2
1
1",,,"4
2
14
12
8
11
1
5
2
1
16
10
1","8
2
1
12
7
4
10
18
5
3
40
9
2","1
1",1,"13
9
5
26
33
1
10
16
1
17
16
1
16
20
5","23
11
6
20
27
8
17
19
10
9
40
17
7","36
20
11
46
60
1
18
33
20
27
25
1
56
37
12",
,Subtotal,78,78,3,2,9,8,10,4,,,87,121,2,1,189,214,403,
Grand Total,,"16,478","16,952",693,560,"2,240","2,302",687,824,93,111,980,"2,426",94,138,"21,265","23,313",44578,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
