Texas A&M University,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,
Residency Status by Tuition Status by College,,,,,,,,,
Fall 2005,,,,,,,,,
Enrollment Profile – Fall 2005 Official Certified 12th Class Day Data,,,,,,,,,
"Fall 2005
Agriculture         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Architecture        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Business              Texas Resident
Admin                 Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Education            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Engineering        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
G. Bush               Texas Resident
School of            Non-TX, US Resident
Subtotal
Geosciences        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Liberal Arts         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Science                Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Veterinary           Texas Resident
Medicine             Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
General               Texas Resident
Studies                Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Other -                 Texas Resident
Special                Non-TX, US Resident
Subtotal
Total                   Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Grand Total",Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,
,"5,358",-3.1%,17,41.7%,66,371.4%,"5,441",-2.0%,
,,,101,-10.6%,271,-7.5%,372,-8.4%,
,8,33.3%,90,-16.7%,252,-22.5%,350,-20.3%,
,"5,366",-3.0%,208,-10.7%,589,-6.8%,"6,163",-3.7%,
,"1,478",1.7%,2,100.0%,19,850.0%,"1,499",3.0%,
,,,25,-30.6%,52,15.6%,77,-4.9%,
,3,-25.0%,37,-43.9%,146,-15.1%,186,-23.1%,
,"1,481",1.6%,64,-37.3%,217,-0.9%,"1,762",-1.0%,
,"4,503",0.0%,2,100.0%,44,266.7%,"4,549",0.7%,
,,,37,-15.9%,104,9.5%,141,1.4%,
,9,-30.8%,53,0.0%,134,3.1%,196,0.0%,
,"4,512",-0.1%,92,-6.1%,282,19.0%,"4,886",0.7%,
,"4,997",2.7%,10,11.1%,45,800.0%,"5,052",3.5%,
,,,73,12.3%,96,4.3%,169,7.6%,
,3,-66.7%,40,5.3%,75,-6.3%,118,-7.1%,
,"5,000",2.6%,123,9.8%,216,22.0%,"5,339",3.4%,
,"6,559",1.7%,25,0.0%,98,345.5%,"6,682",2.9%,
,,,154,-4.3%,357,12.6%,511,6.9%,
,39,-25.0%,556,-18.1%,"1,048",-2.6%,"1,643",-9.1%,
,"6,598",1.5%,735,-15.0%,"1,503",6.2%,"8,836",0.6%,
,135,0.7%,1,100.0%,12,500.0%,148,8.8%,
,,,3,0.0%,34,3.0%,37,2.8%,
,1,0.0%,1,-50.0%,13,8.3%,15,0.0%,
,136,0.7%,5,0.0%,59,25.5%,200,7.0%,
,527,2.9%,0,-100.0%,12,300.0%,539,4.5%,
,,,25,-7.4%,74,-15.9%,99,-13.9%,
,3,-40.0%,15,-25.0%,95,0.0%,113,-5.8%,
,530,2.5%,40,-16.7%,181,-2.7%,751,0.0%,
,"6,121",-2.9%,13,-7.1%,87,335.0%,"6,221",-1.9%,
,,,162,-1.8%,339,14.9%,501,8.9%,
,10,-16.7%,75,-12.8%,127,-5.2%,212,-8.6%,
,"6,131",-3.0%,250,-5.7%,553,23.2%,"6,934",-1.4%,
,"2,197",4.7%,2,-66.7%,52,420.0%,"2,251",6.4%,
,,,39,-40.0%,227,14.6%,266,1.1%,
,10,-9.1%,44,-8.3%,299,-2.6%,353,-3.6%,
,"2,207",4.6%,85,-28.6%,578,12.2%,"2,870",4.6%,
,"2,401",-2.5%,4,-42.9%,56,2700.0%,"2,461",-0.4%,
,,,24,-35.1%,81,14.1%,105,-2.8%,
,3,-62.5%,12,20.0%,26,-46.9%,41,-38.8%,
,"2,404",-2.7%,40,-25.9%,163,33.6%,"2,607",-1.5%,
,"3,664",-4.5%,12,0.0%,28,366.7%,"3,704",-3.9%,
,,,55,-12.7%,49,0.0%,104,-7.1%,
,4,-20.0%,12,50.0%,3,50.0%,19,26.7%,
,"3,668",-4.5%,79,-4.8%,80,40.4%,"3,827",-3.9%,
,144,323.5%,,,3,200.0%,147,320.0%,
,,,5,150.0%,40,1233.3%,45,800.0%,
,1,0.0%,84,44.8%,126,500.0%,211,163.8%,
,145,314.3%,89,48.3%,169,576.0%,403,235.8%,
,"38,084",-0.3%,88,1.1%,522,427.3%,"38,694",0.8%,
,,,703,-10.0%,"1,724",9.2%,"2,427",2.8%,
,94,-26.0%,"1,019",-13.4%,"2,344",-2.5%,"3,457",-6.7%,
,"38,178",-0.3%,"1,810",-11.4%,"4,590",12.5%,"44,578",0.3%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,
