Fall 2005,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,736,1.9%,8,100.0%,0,-100.0%,,,744,2.5%,
,AGBL,129,-1.5%,,,,,,,129,-1.5%,
,AGBU,76,-22.4%,0,-100.0%,,,,,76,-46.1%,
,AGEC,291,1.7%,48,29.7%,51,10.9%,,,390,5.7%,
,AGED,,,52,4.0%,41,-14.6%,,,93,-5.1%,
,AGEN,116,5.5%,0,-100.0%,,,,,116,4.5%,
,AGJR,91,7.1%,,,,,,,91,7.1%,
,AGLS,253,-11.8%,,,,,,,253,-11.8%,
,AGRO,123,11.8%,15,0.0%,14,-17.6%,,,152,7.0%,
,AGSC,140,-21.3%,,,,,,,140,-21.3%,
,AGSM,184,3.4%,2,100.0%,,,,,186,4.5%,
,ANBR,,,2,-60.0%,1,0.0%,,,3,-50.0%,
,ANSC,711,-3.1%,65,-4.4%,17,-19.0%,,,793,-3.6%,
,BAEN,,,21,-25.0%,19,18.8%,,,40,-9.1%,
,BESC,169,0.0%,,,,,,,169,0.0%,
,BICH,207,15.0%,40,0.0%,77,2.7%,,,324,9.8%,
,BSEN,16,-46.7%,,,,,,,16,-46.7%,
,DASC,8,-27.3%,,,,,,,8,-27.3%,
,ENST,7,100.0%,,,,,,,7,100.0%,
,ENTO,89,39.1%,28,-24.3%,28,16.7%,,,145,16.0%,
,FLOR,13,8.3%,3,0.0%,,,,,16,6.7%,
,FORS,38,-19.1%,8,-20.0%,6,20.0%,,,52,-16.1%,
,FSTC,46,12.2%,3,-87.0%,1,-94.7%,,,50,-39.8%,
,GENE,151,-4.4%,8,-66.7%,1,-96.2%,,,160,-23.1%,
,HORT,131,7.4%,11,-47.6%,15,0.0%,,,157,-0.6%,
,MEPS,,,0,-100.0%,0,-100.0%,,,0,-100.0%,
,NRDV,,,7,-30.0%,,,,,7,-30.0%,
,NUSC,433,13.9%,,,,,,,433,13.9%,
,NUTR,,,5,-75.0%,0,-100.0%,,,5,-84.8%,
,PLBR,,,13,-7.1%,15,-6.3%,,,28,-6.7%,
,PLPA,,,8,33.3%,16,-5.9%,,,24,4.3%,
,PLSC,,,1,-50.0%,,,,,1,-50.0%,
,POSC,159,-15.0%,8,-57.9%,17,41.7%,,,184,-15.6%,
,PPRO,,,2,100.0%,,,,,2,100.0%,
,PREP,,,13,-43.5%,12,20.0%,,,25,-24.2%,
,PSSC,1,-66.7%,,,,,,,1,-66.7%,
,RENR,28,-26.3%,,,,,,,28,-26.3%,
,RLEM,136,-4.2%,29,-14.7%,15,-42.3%,,,180,-10.9%,
,RPTS,293,7.3%,26,85.7%,34,-12.8%,,,353,8.3%,
,SOSC,,,14,-6.7%,7,-22.2%,,,21,-12.5%,
,SPSA,11,100.0%,,,,,,,11,100.0%,
,TOXI,,,0,-100.0%,0,-100.0%,,,0,-100.0%,
,WFSC,387,-4.4%,90,-2.2%,63,-1.6%,,,540,-3.7%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,
