Top 10,,,,,,,,
Fall 2005 Feeder Patterns First Time In College,,,,,,,,
Texas County   Students  % Total,,,,,,,,
Harris,,"1,250",,17.7%,,,,
Dallas,,523,,7.4%,,,,
Tarrant,,456,,6.4%,,,,
Bexar,,438,,6.2%,,,,
Fort Bend,,307,,4.3%,,,,
Travis,,247,,3.5%,,,,
Montgomery,,218,,3.1%,,,,
Collin,,210,,3.0%,,,,
Brazos,,180,,2.5%,,,,
Denton,,168,,2.4%,,,,
State,Students  % Total,,,,,,,
Texas,"6,770",,95.6%,,,,,
Louisiana,36,,0.5%,,,,,
Oklahoma,21,,0.3%,,,,,
California,18,,0.3%,,,,,
New Mexico,18,,0.3%,,,,,
Virginia,12,,0.2%,,,,,
Colorado,11,,0.2%,,,,,
Pennsylvania,11,,0.2%,,,,,
Missouri,10,,0.1%,,,,,
Arkansas,9,,0.1%,,,,,
Country,,Students  % Total,,,,,,
United States,,"7,053",,,99.6%,,,
India,,12,,,0.2%,,,
Mexico,,7,,,0.1%,,,
Canada,,4,,,0.1%,,,
Nigeria,,3,,,0.0%,,,
Equatorial Guinea,,2,,,0.0%,,,
Indonesia,,2,,,0.0%,,,
"China, People's Rep",,2,,,0.0%,,,
Saudi Arabia,,2,,,0.0%,,,
Iraq,,1,,,0.0%,,,
