Fall 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,39,-4.9%,217,210.0%,147,1533.3%,,,403,235.8%,
Gender,Female,14,0.0%,106,186.5%,69,100.0%,,,189,270.6%,
,Male,25,-7.4%,111,236.4%,78,766.7%,,,214,210.1%,
Ethnicity,White,,,104,300.0%,52,5100.0%,,,156,477.8%,
,Black,,,5,400.0%,,,,,5,400.0%,
,Hispanic,,,13,160.0%,4,100.0%,,,17,240.0%,
,Asian,,,8,166.7%,6,100.0%,,,14,366.7%,
,American Indian,,,,,,,,,,,
,International,39,-4.9%,86,177.4%,83,937.5%,,,208,160.0%,
,Unknown/Other,,,1,-75.0%,2,100.0%,,,3,-25.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,19,35.7%,5,400.0%,,,,,24,60.0%,
,22-25,19,-29.6%,103,212.1%,11,1000.0%,,,133,118.0%,
,26-30,1,100.0%,69,263.2%,65,2066.7%,,,135,513.6%,
,31-39,,,30,275.0%,60,1100.0%,,,90,592.3%,
,40+,,,10,11.1%,11,100.0%,,,21,133.3%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,48,37.1%,,,,,48,37.1%,
,1st Time Graduate,,,51,628.6%,8,300.0%,,,59,555.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,1,0.0%,,,,,1,0.0%,
,Continuing,39,-4.9%,117,333.3%,139,1885.7%,,,295,293.3%,
Tuition,Resident Tuition,,,103,194.3%,42,100.0%,,,145,314.3%,
Status,Non-Resident Tuition,39,-4.9%,30,66.7%,20,1900.0%,,,89,48.3%,
,Tuition  Exemption/Waiver,,,84,394.1%,85,962.5%,,,169,576.0%,
Residency,Texas Resident,,,105,200.0%,42,100.0%,,,147,320.0%,
Status,"Non-TX, US Resident",,,25,525.0%,20,1900.0%,,,45,800.0%,
,"Non-TX, Non-US Resident",39,-4.9%,87,180.6%,85,962.5%,,,211,163.8%,
SCH,< 6 SCH,,,60,71.4%,18,100.0%,,,78,122.9%,
Categories,6-8 SCH,,,18,200.0%,2,100.0%,,,20,233.3%,
,9-11 SCH,,,104,642.9%,123,1266.7%,,,227,887.0%,
,12-14 SCH,27,-3.6%,32,128.6%,3,100.0%,,,62,47.6%,
,15-17 SCH,11,-15.4%,3,200.0%,1,100.0%,,,15,7.1%,
,>17 SCH,1,100.0%,,,,,,,1,100.0%,
Ft/Pt:,Less Than Half Time,,,47,42.4%,18,100.0%,,,65,97.0%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,30,328.6%,2,100.0%,,,32,357.1%,
,Full-Time,39,-4.9%,140,366.7%,127,1311.1%,,,306,282.5%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,
