"Fall 2005
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC NFSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
59
31
94
24
88
7
8
6
6
50
4
6
6
3
2
39
433
116
34
14
164
807
807
5
183
230
418
226
128
136
152
238
197
45
46
296
57
99
1,620
49
6
2
15
72","1st Time PB
3
1
4
1
1
1
1
1
1
1
2
3
1
2
9
1
1","1st Time Transfer
53
62
54
7
12
10
3
9
30
5
8
10
18
13
22
316
22
38
12
72
6
87
2
1
2
98
24
98
171
293
15
8
15
14
29
45
46
12
46
6
10
246
6
2
6
12
26","Readmitted
3
42
4
5
5
27
1
4
4
6
5
6
14
14
140
9
3
12
1
7
4
1
4
3
20
8
30
18
56
1
1
2
13
14
4
12
3
4
4
1
59
1
5
2
8","Continuing
381
832
567
280
253
213
78
53
125
395
155
140
127
259
108
314
4,280
428
538
108
1,074
625
885
532
158
363
569
3,132
292
1,400
1,656
3,348
328
214
318
417
816
652
750
229
764
124
226
4,838
92
39
147
84
362",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,1,21,1,26,9,1,42,,,595,
,,,,,,7,19,,33,4,,36,,,"1,068",
,,,,,,3,25,,60,2,,29,,,838,
,,,,,,1,5,,17,1,,18,,,358,
,,,,,,,20,,28,5,,73,,,484,
,,,,,,,1,,2,,,,,,263,
,,,,,,,8,,21,3,,25,,,146,
,,,,,,,,,9,2,,4,,,75,
,,,,,,,6,,8,,,17,,,175,
,,,,,,,,,,,,,,,479,
,,,,,,2,4,,3,2,,14,,,195,
,,,,,,,1,,7,1,,16,,,184,
,,,,,,1,9,,20,,,15,,,194,
,,,,,,,15,,12,1,,33,,,355,
,,,,,,1,12,,29,3,1,30,,,200,
,,,,,,2,28,,70,8,1,56,,,554,
,,,,,,18,174,1,345,41,3,408,,,"6,163",
,,,,,,2,64,,123,3,,50,,,817,
,,,,,,,24,,39,,,,,,677,
,,,,,,1,22,,61,5,,45,,,268,
,,,,,,3,110,,223,8,,95,,,"1,762",
,,,,,,1,101,1,27,4,,10,,,776,
,,,,,,1,119,,111,,,,,,"2,017",
,,,,,,,123,,74,2,,6,,,741,
,,,,,,,81,,51,,,8,,,301,
,,,,,,,14,,24,3,,15,,,424,
,,,,,,,19,,17,2,,14,,,627,
,,,,,,2,457,1,304,11,,53,,,"4,886",
,,,,,,,,,,,,,,,329,
,,,,,,22,37,1,88,30,5,281,,,464,
,,,,,,2,48,,74,9,2,148,,,283,
,,,,,,2,31,,39,5,,45,,,"1,834",
,,,,,,32,88,1,68,20,,145,,,"2,429",
,,,,,,58,204,2,269,64,7,619,,,"5,339",
,,,,,,1,22,,50,2,,36,,,682,
,,,,,,,19,,24,3,,27,,,424,
,,,,,,,27,,39,7,,60,,,604,
,,,,,,,,,1,,,18,,,19,
,,,,,,5,50,1,100,9,1,157,,,919,
,,,,,,1,67,,108,17,2,114,,,"1,408",
,,,,,,,53,,110,15,1,165,,,"1,245",
,,,,,,2,17,,8,,,,,,881,
,,,,,,,36,,39,13,,52,,,430,
,,,,,,3,72,1,120,24,,108,,,"1,440",
,,,,,,,11,,40,7,,27,,,276,
,,,,,,4,52,,79,5,,32,,,508,
,,,,,,16,426,2,718,102,4,796,,,"8,836",
,,,,,,35,71,,94,,,,,,200,
,,,,,,35,71,,94,,,,,,200,
,,,,,,,9,,24,1,,25,,,207,
,,,,,,,,,,,,,,,48,
,,,,,,1,13,,15,5,,22,,,216,
,,,,,,,13,,48,3,,37,,,214,
,,,,,,,8,1,31,3,,23,,,66,
,,,,,,1,43,1,118,12,,107,,,751,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,,
