"Fall 2005
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
46
8
6
17
77
19
68
133
38
64
3
11
95
13
151
10
157
28
790
309
57
58
27
451
478
478
1,766
1,766
6,677","Sophomore
18
8
19
18
63
21
63
137
58
145
8
8
112
6
155
13
191
32
949
242
38
48
16
344
306
306
1,098
1,098
6,101","Junior
28
12
39
26
105
24
102
240
133
188
7
21
187
35
250
24
266
84
1,561
254
43
52
14
363
317
317
119
119
7,303","Senior
34
10
71
33
148
36
124
243
161
211
5
31
213
33
240
28
321
95
1,741
219
49
84
26
378
367
367
2
2
8,877","PB
1
3
4
7
7
72","Total
127
38
135
97
397
100
357
753
390
608
23
71
607
87
796
75
935
239
5,041
1,031
187
242
83
1,543
1,468
1,468
2,985
2,985
29,030",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,27,27,7,7,454,454,161,
,,,,,,,,,,,,,,38,
,,,,,,,,19,20,10,10,,,165,
,,,,,,,,37,37,12,12,,,146,
,,,,,,,,31,31,12,12,,,43,
,,,,,,,1,114,115,41,41,,,553,
,,,,,,,3,57,60,28,28,,,188,
,,,,,,,,3,3,,,,,360,
,,,,,,,1,15,16,23,23,,,792,
,,,,,,,,10,10,10,10,,,410,
,,,,,,,1,22,23,47,47,,,678,
,,,,,,,,,,,,,,23,
,,,,,,,2,4,6,4,4,,,81,
,,,,,,,4,24,28,35,35,,,670,
,,,,,,,1,12,13,4,4,,,104,
,,,,,,,,8,8,33,33,,,837,
,,,,,,,,,,,,,,75,
,,,,,,,1,24,25,29,29,,,989,
,,,,,,,,13,13,24,24,,,276,
,,,,,,,13,192,205,237,237,,,"5,483",
,,,,,,,4,29,33,23,23,,,"1,087",
,,,,,,,2,49,51,64,64,,,302,
,,,,,,,8,44,52,18,18,,,312,
,,,,,,,1,24,25,14,14,,,122,
,,,,,,,4,15,19,9,9,,,28,
,,,,,,,19,161,180,128,128,,,"1,851",
,,,,,,,,,,,,,,"1,922",
,,,,,,,,12,12,9,9,,,21,
,,,,,,,,5,5,,,,,5,
,,,,,,,,1,1,,,,,1,
,,,,,,,1,18,19,19,19,,,38,
,,,,,,,,3,3,2,2,,,5,
,,,,,,,1,39,40,30,30,454,454,"1,992",
,,,,,,,,,,,,,,"2,985",
,,,,,,,,,,,,,,"2,985",
,,,,,,,6,,6,,,,,6,
,,,,,,,1,81,82,52,52,,,134,
,,,,,,,,1,1,,,,,1,
,,,,,,,15,,15,,,,,15,
,,,,,,,22,82,104,52,52,,,156,
,,,,,,,220,"2,460","2,680","1,266","1,266",454,454,"33,430",
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,
