"Fall 2005
Agriculture             AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC NFSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering            AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH  of Govt                   Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
595
1,068
838
358
484
263
146
75
175
479
195
184
194
355
200
554
6,163
817
677
268
1,762
776
2,017
741
301
424
627
4,886
329
464
283
1,834
2,429
5,339
682
424
604
19
919
1,408
1,245
881
430
1,440
276
508
8,836
200
200",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,177,314,,1,11,22,1,4,2,2,20,40,1,,212,383,,
,436,473,21,39,32,37,2,3,8,6,3,5,1,2,503,565,,
,435,290,8,4,39,26,6,3,1,3,5,14,3,1,497,341,,
,32,265,3,5,3,16,1,3,,2,7,19,,2,46,312,,
,161,120,8,5,30,32,24,22,1,1,43,33,,4,267,217,,
,74,98,7,22,20,26,6,3,1,,2,2,1,1,111,152,,
,49,48,6,2,13,9,1,1,1,,6,8,1,1,77,69,,
,7,54,2,1,1,2,,1,,1,2,3,1,,13,62,,
,93,55,2,,2,6,1,3,,,6,7,,,104,71,,
,336,56,7,2,42,7,11,5,2,1,8,1,1,,407,72,,
,69,60,5,2,16,16,4,4,2,2,3,11,1,,100,95,,
,51,99,,1,2,13,,1,1,,5,10,,1,59,125,,
,39,131,1,,2,8,1,,,,3,6,,3,46,148,,
,153,132,1,4,12,16,1,2,2,2,19,7,4,,192,163,,
,18,147,,3,3,5,1,,,1,6,15,1,,29,171,,
,171,287,4,1,27,22,2,,4,2,13,14,2,5,223,331,,
,"2,301","2,629",75,92,255,263,62,55,25,23,151,195,17,20,"2,886","3,277",,
,277,300,5,7,39,50,24,17,2,1,36,53,2,4,385,432,,
,48,509,4,5,9,54,3,7,,2,8,24,,4,72,605,,
,59,109,1,5,10,12,1,2,,1,23,42,,3,94,174,,
,384,918,10,17,58,116,28,26,2,4,67,119,2,11,551,"1,211",,
,397,278,4,4,25,15,18,14,1,2,7,8,1,2,453,323,,
,848,786,29,25,98,107,29,37,3,4,13,27,3,8,"1,023",994,,
,247,397,3,6,14,23,7,18,,2,4,13,2,5,277,464,,
,65,115,2,2,4,5,2,6,,3,32,64,,1,105,196,,
,180,164,8,6,26,9,12,5,,1,6,4,2,1,234,190,,
,391,162,7,2,22,9,7,7,2,1,5,10,,2,434,193,,
,"2,128","1,902",53,45,189,168,75,87,6,13,67,126,8,19,"2,526","2,360",,
,163,100,9,4,15,26,1,6,1,1,1,1,,1,190,139,,
,183,105,35,19,54,28,,2,2,,23,5,4,4,301,163,,
,144,32,14,6,34,9,5,1,,1,29,7,1,,227,56,,
,927,620,42,28,83,72,16,16,2,2,7,14,1,4,"1,078",756,,
,"1,941",109,70,13,198,23,23,3,10,1,27,4,5,2,"2,274",155,,
,"3,358",966,170,70,384,158,45,28,15,5,87,31,11,11,"4,070","1,269",,
,74,417,4,9,15,66,4,15,,,4,70,1,3,102,580,,
,115,140,4,9,23,32,21,27,,1,10,40,1,1,174,250,,
,113,254,8,13,34,28,11,16,1,2,40,83,,1,207,397,,
,,6,2,,,,,,,,1,10,,,3,16,,
,46,516,7,18,10,60,7,39,,1,43,168,,4,113,806,,
,198,774,7,12,39,112,8,30,1,2,38,181,2,4,293,"1,115",,
,50,592,10,28,21,96,13,60,,2,57,315,1,,152,"1,093",,
,89,640,14,13,20,48,7,25,1,5,2,9,,8,133,748,,
,55,146,14,11,8,43,6,11,,,24,111,,1,107,323,,
,125,853,15,22,12,116,6,38,,11,9,224,1,8,168,"1,272",,
,33,166,2,2,6,17,3,13,,1,6,24,2,1,52,224,,
,52,219,4,14,6,33,3,14,,3,26,130,,4,91,417,,
,950,"4,723",91,151,194,651,89,288,3,28,260,"1,365",8,35,"1,595","7,241",,
,59,92,5,3,14,9,1,2,,1,5,8,,1,84,116,,
,59,92,5,3,14,9,1,2,,1,5,8,,1,84,116,,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,,,,
