Top 10,,,,,,,,
Fall 2001  Feeder Patterns New Graduate,,,,,,,,
Country,,,Students  % Total,,,,,
United States,,,1165,,,58.0%,,
India,,,271,,,13.5%,,
"China, People's Rep of",,,169,,,8.4%,,
"Korea, Republic of",,,136,,,6.8%,,
Mexico,,,21,,,1.0%,,
Turkey,,,17,,,0.8%,,
Taiwan,,,17,,,0.8%,,
Thailand,,,13,,,0.6%,,
Venezuela,,,11,,,0.5%,,
Russia,,,10,,,0.5%,,
Texas County   Students  % Total,,,,,,,,
Harris,,170,,,8.5%,,,
Brazos,,145,,,7.2%,,,
Dallas,,43,,,2.1%,,,
Montgomery,,37,,,1.8%,,,
Tarrant,,36,,,1.8%,,,
Bexar,,35,,,1.7%,,,
Travis,,30,,,1.5%,,,
Collin,,20,,,1.0%,,,
Galveston,,18,,,0.9%,,,
Denton,,15,,,0.7%,,,
State,Students  % Total,,,,,,,
Texas,890,,,44.3%,,,,
California,30,,,1.5%,,,,
Louisiana,16,,,0.8%,,,,
New York,16,,,0.8%,,,,
Illinois,12,,,0.6%,,,,
Missouri,11,,,0.5%,,,,
Utah,10,,,0.5%,,,,
Pennsylvania,10,,,0.5%,,,,
Oklahoma,9,,,0.4%,,,,
Arkansas,9,,,0.4%,,,,
