Fall 2001,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,646,1.4%,8,-11.1%,45,4.7%,,,654,1.2%,
,AGBL,232,4.0%,,,,,,,232,4.0%,
,AGBU,199,-12.7%,50,8.7%,,,,,249,-9.1%,
,AGEC,371,25.3%,38,2.7%,,,,,454,20.7%,
,AGED,,,49,40.0%,48,0.0%,,,97,16.9%,
,AGEN,121,-1.6%,0,-100.0%,0,-100.0%,,,121,-28.0%,
,AGJR,68,-11.7%,,,,,,,68,-11.7%,
,AGLS,349,47.3%,,,,,,,349,47.3%,
,AGRO,139,19.8%,16,33.3%,15,0.0%,,,170,18.9%,
,AGSC,149,25.2%,,,,,,,149,25.2%,
,AGSM,181,15.3%,2,0.0%,,,,,183,15.1%,
,ANBR,,,,,1,0.0%,,,1,0.0%,
,ANSC,671,-5.4%,50,-10.7%,18,5.9%,,,739,-5.5%,
,BAEN,,,25,100.0%,11,100.0%,,,36,100.0%,
,BESC,170,3.7%,,,,,,,170,3.7%,
,BICH,198,-13.2%,35,-16.7%,62,6.9%,,,295,-10.1%,
,BSEN,34,17.2%,,,,,,,34,17.2%,
,DASC,11,-31.3%,,,,,,,11,-31.3%,
,ENTO,33,-32.7%,29,45.0%,27,0.0%,,,89,-7.3%,
,FISC,,,1,100.0%,,,,,1,100.0%,
,FLOR,5,150.0%,,,,,,,5,150.0%,
,FORS,37,-21.3%,3,-25.0%,10,-9.1%,,,50,-19.4%,
,FSTC,83,2.5%,36,9.1%,20,17.6%,,,139,6.1%,
,GENE,222,-5.1%,16,23.1%,25,-7.4%,,,263,-4.0%,
,HORT,132,3.1%,26,0.0%,11,37.5%,,,169,4.3%,
,MEPS,,,6,20.0%,7,0.0%,,,13,8.3%,
,NRDV,,,4,-20.0%,,,,,4,-20.0%,
,NUSC,249,-2.4%,,,,,,,249,-2.4%,
,NUTR,,,49,-16.9%,13,-23.5%,,,62,-18.4%,
,PLBR,,,10,-23.1%,16,23.1%,,,26,0.0%,
,PLPA,,,11,-26.7%,21,16.7%,,,32,-3.0%,
,POSC,143,13.5%,8,-20.0%,12,33.3%,,,163,12.4%,
,PPHY,,,1,100.0%,2,-50.0%,,,3,-25.0%,
,PREP,,,10,-37.5%,10,-16.7%,,,20,-28.6%,
,PSSC,5,-28.6%,,,,,,,5,-28.6%,
,RENR,32,28.0%,,,,,,,32,28.0%,
,RLEM,112,27.3%,29,0.0%,23,0.0%,,,164,17.1%,
,RPTS,325,11.7%,24,0.0%,22,29.4%,,,371,11.7%,
,RRDV,,,,,1,-50.0%,,,1,-50.0%,
,SOSC,,,13,-27.8%,13,-23.5%,,,26,-25.7%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,
