Fall 2001,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,61,-3.2%,2,-33.3%,5,0.0%,4,-33.3%,2,100.0%,112,38.3%,2,0.0%,186,16.2%,
,COMG,13,-18.8%,,,3,0.0%,,,,,43,126.3%,,,59,55.3%,
,COSC,260,-1.1%,1,0.0%,16,-36.0%,2,0.0%,,,0,-100.0%,7,0.0%,288,-4.0%,
,COSL,242,13.6%,2,0.0%,31,0.0%,2,0.0%,1,-50.0%,1,100.0%,1,0.0%,280,11.6%,
,ENDL,305,-13.6%,8,-20.0%,30,-6.3%,10,-9.1%,3,50.0%,1,-80.0%,6,-57.1%,363,-15.0%,
,ENDS,278,0.0%,6,0.0%,37,-30.2%,12,71.4%,2,100.0%,7,-22.2%,10,150.0%,352,-1.7%,
,LADE,18,260.0%,,,,,,,,,3,-25.0%,,,21,133.3%,
,LAND,52,-8.8%,,,0,-100.0%,1,0.0%,,,9,80.0%,3,0.0%,65,-4.4%,
,LANL,84,20.0%,,,6,0.0%,1,-50.0%,1,100.0%,1,-50.0%,2,-33.3%,95,14.5%,
,LDEV,3,-57.1%,,,1,0.0%,1,100.0%,,,1,-66.7%,,,6,-45.5%,
,URPL,2,-60.0%,2,100.0%,,,,,,,8,-38.5%,,,12,-36.8%,
,URSC,21,10.5%,2,100.0%,2,0.0%,,,,,21,0.0%,,,46,7.0%,
,VIZA,39,8.3%,,,6,50.0%,4,-20.0%,1,0.0%,12,33.3%,1,100.0%,63,14.5%,
,Subtotal,1378,-0.5%,23,-4.2%,137,-16.5%,37,2.8%,10,66.7%,219,26.6%,32,-5.9%,1836,0.8%,
Business Admin,ACCT,588,-5.9%,12,-14.3%,37,-30.2%,12,-14.3%,3,-25.0%,20,-9.1%,9,12.5%,681,-8.0%,
,AGBU,7,-12.5%,,,,,,,,,,,,,7,-12.5%,
,BUAD,1899,-6.5%,62,19.2%,159,1.9%,86,11.7%,12,-14.3%,79,-10.2%,33,0.0%,2330,-4.9%,
,BUAG,7,133.3%,,,,,,,,,0,-100.0%,,,7,40.0%,
,FINC,628,-6.7%,8,-27.3%,49,-12.5%,14,40.0%,2,100.0%,38,46.2%,11,0.0%,750,-4.8%,
,INFO,482,-19.5%,14,-6.7%,34,-37.0%,32,-28.9%,2,-33.3%,17,-26.1%,9,-40.0%,590,-21.8%,
,MGMT,339,-25.5%,7,-12.5%,35,-38.6%,8,-20.0%,1,-50.0%,27,3.8%,6,-40.0%,423,-25.5%,
,MISY,62,19.2%,1,100.0%,4,33.3%,5,25.0%,0,-100.0%,35,52.2%,3,100.0%,110,32.5%,
,MKTG,764,6.1%,11,-35.3%,61,8.9%,13,18.2%,4,33.3%,22,-18.5%,10,-37.5%,885,4.1%,
,MLER,30,15.4%,,,1,0.0%,,,,,0,-100.0%,,,31,6.9%,
,Subtotal,4806,-7.4%,115,-1.7%,380,-12.8%,170,-0.6%,24,-14.3%,238,-0.4%,81,-12.9%,5814,-7.3%,
Education,CPSY,37,-11.9%,1,0.0%,4,-50.0%,1,-50.0%,,,1,0.0%,0,-100.0%,44,-20.0%,
,EDAD,222,0.0%,33,-8.3%,32,-13.5%,3,50.0%,1,0.0%,8,33.3%,3,0.0%,302,-1.6%,
,EDCI,154,8.5%,48,45.5%,33,-10.8%,3,50.0%,1,0.0%,20,11.1%,4,-20.0%,263,10.5%,
,EDHL,164,-19.6%,10,42.9%,24,0.0%,4,100.0%,2,100.0%,,,2,0.0%,206,-14.2%,
,EDIS,1012,7.7%,12,71.4%,60,11.1%,10,150.0%,9,50.0%,1,100.0%,12,0.0%,1116,9.1%,
,EDIT,7,250.0%,1,100.0%,1,100.0%,,,,,,,,,9,350.0%,
,EDKI,638,18.4%,13,30.0%,55,17.0%,6,50.0%,2,-33.3%,4,0.0%,9,-30.8%,727,17.3%,
,EDTC,34,9.7%,,,0,-100.0%,,,0,-100.0%,6,0.0%,1,100.0%,41,2.5%,
,EHRD,126,-8.0%,5,-54.5%,25,66.7%,,,0,-100.0%,17,41.7%,4,0.0%,177,-2.2%,
,EPSY,149,12.0%,7,-30.0%,34,70.0%,1,-66.7%,2,0.0%,17,41.7%,3,100.0%,213,18.3%,
,HEED,19,26.7%,1,0.0%,,,0,-100.0%,,,,,1,100.0%,21,23.5%,
,HLTH,110,0.0%,2,-71.4%,12,-25.0%,0,-100.0%,,,,,1,0.0%,125,-9.4%,
,IDTC,1,0.0%,,,,,,,,,,,,,1,0.0%,
,INST,566,2.7%,7,40.0%,42,0.0%,2,-50.0%,4,100.0%,1,0.0%,7,40.0%,629,3.1%,
,KINE,271,-1.5%,7,40.0%,22,-4.3%,2,100.0%,3,200.0%,7,16.7%,4,33.3%,316,0.6%,
,PHED,10,-16.7%,,,3,0.0%,1,0.0%,,,,,0,-100.0%,14,-22.2%,
,SPSY,29,20.8%,6,0.0%,14,-17.6%,,,,,2,0.0%,1,0.0%,52,4.0%,
,TECR,19,-42.4%,,,1,0.0%,,,,,,,,,20,-41.2%,
,Subtotal,3568,4.5%,153,10.1%,362,4.6%,33,10.0%,24,20.0%,84,23.5%,52,0.0%,4276,5.1%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,,,,,,,
