Fall 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,434,0.7%,184,-8.0%,105,-8.7%,,,723,-3.1%,
Gender,Male,240,-0.8%,114,-9.5%,76,-12.6%,,,430,-5.5%,
,Female,194,2.6%,70,-5.4%,29,3.6%,,,293,0.7%,
Ethnic,White,378,1.1%,128,-3.0%,44,-18.5%,,,550,-1.8%,
Origin,Black,6,100.0%,,,0,-100.0%,,,6,50.0%,
,Hispanic,32,-5.9%,5,0.0%,1,0.0%,,,38,-5.0%,
,Asian,6,50.0%,2,-33.3%,1,0.0%,,,9,12.5%,
,American Indian,4,33.3%,1,0.0%,,,,,5,25.0%,
,International,4,-33.3%,44,-17.0%,59,1.7%,,,107,-8.5%,
,Unknown/Other,4,-42.9%,4,-33.3%,,,,,8,-38.5%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,256,0.0%,1,-50.0%,,,,,257,-0.4%,
,22-25,135,-2.2%,82,-11.8%,6,200.0%,,,223,-4.3%,
,26-30,27,17.4%,69,-1.4%,30,-31.8%,,,126,-8.0%,
,31-39,11,10.0%,26,-10.3%,52,6.1%,,,89,1.1%,
,40+,5,25.0%,6,0.0%,17,-15.0%,,,28,-6.7%,
Enrollment,1st Time in College,60,-1.6%,,,,,,,60,-1.6%,
Status,1st Time PB,2,100.0%,,,,,,,2,100.0%,
,1st Time Graduate,,,36,-36.8%,15,25.0%,,,51,-26.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,36,2.9%,,,,,,,36,2.9%,
,Re Admitted,2,-60.0%,,,,,,,2,-60.0%,
,Continuing,334,1.5%,148,3.5%,90,-12.6%,,,572,-0.5%,
Tuition,Resident Tuition,404,2.0%,60,-11.8%,17,-15.0%,,,481,-0.6%,
Status,Non-Resident Tuition,15,-25.0%,28,-6.7%,25,-13.8%,,,68,-13.9%,
,Tuition Exemption/Waiver,15,0.0%,96,-5.9%,63,-4.5%,,,174,-4.9%,
Residency,Texas Resident,406,2.5%,61,-10.3%,17,-19.0%,,,484,-0.2%,
Status,"Non-TX, US Resident",24,-17.2%,79,0.0%,28,-22.2%,,,131,-9.0%,
,"Non-TX, Non-US Resident",4,-33.3%,44,-17.0%,60,3.4%,,,108,-7.7%,
SCH,< 6 SCH,2,0.0%,31,-18.4%,22,-31.3%,,,55,-23.6%,
Categories,6-8 SCH,15,400.0%,5,100.0%,2,100.0%,,,22,450.0%,
,9-11 SCH,18,0.0%,106,-15.9%,80,-2.4%,,,204,-9.7%,
,12-14 SCH,282,2.9%,33,17.9%,1,100.0%,,,316,4.6%,
,15-17 SCH,104,-16.8%,2,-33.3%,,,,,106,-17.2%,
,>17 SCH,13,44.4%,7,40.0%,,,,,20,42.9%,
Ft/Pt:,Less Than Half Time,2,0.0%,28,-15.2%,22,-24.1%,,,52,-18.8%,
"TAMU
Status",Half-Time,"15
18","400.0%
0.0%",8,60.0%,2,-50.0%,,,"25
18","108.3%
0.0%",
,Full-Time,399,-2.2%,148,-8.6%,81,-1.2%,,,628,-3.7%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,
