"Fall 2001
Science                   APHY APMS BIOL BMCB BOTN CHEM GENE MATH MBIO PHYS PPHY STAT TOXI ZOOL
Subtotal
Veterinary               BIMS
Medicine                 EPID GENE LAMD TOXI VMSC VPAR VPAT VPHY VTAN VTMD VTMI VTMS VTPH
Subtotal
General Studies      GEST
TEAM
Subtotal
Other Special          BIOT
Populations             ENSM MDSC PHLT REEP
Subtotal
GRAND Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,"Total
1
97
939
119
7
421
4
314
154
188
2
97
1
153
2497
1975
3
14
2
36
1
1
13
16
10
497
41
5
1
2615
3316
358
3674
11
1
16
31
37
96
44618",
,M,F,M,F,M,F,M,F,M,F,,M,F,M,F,,M,F,,
,1,,,,,,,,,,,,,,,,1,,,
,38,44,1,,5,4,1,2,1,,,,,1,,,47,50,,
,224,458,15,25,48,71,30,35,2,,1,12,4,7,,7,338,601,,
,24,53,,5,7,8,3,13,,,,,4,1,,1,35,84,,
,1,2,,,,,,1,1,,,,2,,,,2,5,,
,148,104,4,9,22,9,11,10,1,,,63,34,2,,4,251,170,,
,1,2,,,,,,,,,,1,,,,,2,2,,
,100,122,3,2,8,9,4,4,,,,34,20,1,,7,150,164,,
,51,54,,2,12,12,4,6,,,1,4,5,1,,2,72,82,,
,80,13,1,,6,1,3,2,,,,67,11,4,,,161,27,,
,1,,,,,,,,,,,,1,,,,1,1,,
,16,10,,1,1,,,2,,,,32,35,,,,49,48,,
,,,,,,,,1,,,,,,,,,,1,,
,35,91,2,,2,13,1,3,1,,,1,2,1,,1,43,110,,
,720,953,26,44,111,127,57,79,6,,2,214,118,18,,22,1152,1345,,
,531,1047,9,44,74,129,37,55,4,,6,2,6,12,,19,669,1306,,
,1,1,,,,,,,,,,,1,,,,1,2,,
,8,3,,,,,,,,,,,2,1,,,9,5,,
,1,,,,,1,,,,,,,,,,,1,1,,
,11,9,,1,1,,,,,,,8,5,,,1,20,16,,
,1,,,,,,,,,,,,,,,,1,,,
,,1,,,,,,,,,,,,,,,,1,,
,2,5,1,,,,,,,,,3,2,,,,6,7,,
,4,5,,,,2,1,,,,,1,3,,,,6,10,,
,1,5,,,,,,,,,,2,1,1,,,4,6,,
,142,304,,,4,19,3,15,1,,3,,,4,,2,154,343,,
,15,11,1,,3,1,,1,,,,3,6,,,,22,19,,
,1,4,,,,,,,,,,,,,,,1,4,,
,,1,,,,,,,,,,,,,,,,1,,
,718,1396,11,45,82,152,41,71,5,,9,19,26,18,,22,894,1721,,
,1470,1225,66,45,188,162,51,39,8,,8,6,11,20,,17,1809,1507,,
,182,141,1,4,9,10,6,2,1,,,,1,1,,,200,158,,
,1652,1366,67,49,197,172,57,41,9,,8,6,12,21,,17,2009,1665,,
,2,4,1,,,,1,1,,,,1,1,,,,5,6,,
,1,,,,,,,,,,,,,,,,1,,,
,4,4,,,,1,,,,,,4,3,,,,8,8,,
,2,12,1,2,3,2,,2,,,,2,2,,,3,8,23,,
,,,,,,,,,,,,26,11,,,,26,11,,
,9,20,2,2,3,3,1,3,,,,33,17,,,3,48,48,,
,17508,16693,431,642,1877,1801,739,616,118,,88,2516,963,342,,284,23531,21087,,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,,,,,,,,,
