Fall 2001,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,,
Architecture,ARCH,44,17,2,1,4,1,2,2,2,1,66,46,2,4,120,66,186,
,COMG,13,,,,3,,,,,,31,12,,,47,12,59,
,COSC,238,22,1,,13,3,1,1,,,,,7,,262,26,288,
,COSL,215,27,1,,23,8,,2,1,,1,,1,,242,38,280,
,ENDL,154,151,7,1,15,15,5,5,2,,1,,2,,186,177,363,
,ENDS,128,150,1,5,23,14,5,7,2,,5,2,6,4,170,182,352,
,LADE,15,3,,,,,,,,,1,2,,,16,5,21,
,LAND,32,20,,,,,,1,,,1,8,3,,36,29,65,
,LANL,44,40,,,2,4,1,,1,,,1,1,1,49,46,95,
,LDEV,3,,,,1,,,1,,,1,,,,5,1,6,
,URPL,,2,,2,,,,,,,4,4,,,4,8,12,
,URSC,20,1,,2,1,1,,,,,17,4,,,38,8,46,
,VIZA,28,11,,,4,2,3,1,1,,5,7,1,,42,21,63,
,Subtotal,934,444,12,11,89,48,17,20,9,1,133,86,23,9,1217,619,1836,
Business Admin,ACCT,238,350,1,11,10,27,4,8,2,1,7,13,5,4,267,414,681,
,AGBU,3,4,,,,,,,,,,,,,3,4,7,
,BUAD,929,970,26,36,73,86,42,44,8,4,57,22,19,14,1154,1176,2330,
,BUAG,1,6,,,,,,,,,,,,,1,6,7,
,FINC,385,243,5,3,30,19,8,6,2,,17,21,9,2,456,294,750,
,INFO,296,186,3,11,16,18,15,17,1,1,11,6,5,4,347,243,590,
,MGMT,183,156,2,5,20,15,2,6,1,,15,12,1,5,224,199,423,
,MISY,36,26,1,,3,1,3,2,,,14,21,3,,60,50,110,
,MKTG,253,511,1,10,19,42,4,9,2,2,11,11,3,7,293,592,885,
,MLER,25,5,,,1,,,,,,,,,,26,5,31,
,Subtotal,2349,2457,39,76,172,208,78,92,16,8,132,106,45,36,2831,2983,5814,
Education,CPSY,19,18,,1,1,3,,1,,,,1,,,20,24,44,
,EDAD,97,125,13,20,11,21,,3,,1,,8,1,2,122,180,302,
,EDCI,34,120,9,39,8,25,,3,,1,2,18,1,3,54,209,263,
,EDHL,19,145,,10,3,21,,4,,2,,,1,1,23,183,206,
,EDIS,34,978,2,10,6,54,2,8,,9,,1,1,11,45,1071,1116,
,EDIT,4,3,1,,1,,,,,,,,,,6,3,9,
,EDKI,279,359,6,7,36,19,3,3,1,1,2,2,7,2,334,393,727,
,EDTC,9,25,,,,,,,,,1,5,,1,10,31,41,
,EHRD,56,70,2,3,9,16,,,,,6,11,4,,77,100,177,
,EPSY,23,126,1,6,1,33,,1,,2,1,16,,3,26,187,213,
,HEED,5,14,,1,,,,,,,,,,1,5,16,21,
,HLTH,11,99,,2,4,8,,,,,,,,1,15,110,125,
,IDTC,1,,,,,,,,,,,,,,1,,1,
,INST,13,553,,7,2,40,,2,,4,,1,,7,15,614,629,
,KINE,125,146,4,3,13,9,1,1,1,2,7,,2,2,153,163,316,
,PHED,6,4,,,2,1,1,,,,,,,,9,5,14,
,SPSY,3,26,,6,4,10,,,,,2,,,1,9,43,52,
,TECR,1,18,,,,1,,,,,,,,,1,19,20,
,Subtotal,739,2829,38,115,101,261,7,26,2,22,21,63,17,35,925,3351,4276,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,,,,,,,,
