Fall 2001,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,,
Geosciences,ATMO,21,9,3,2,2,1,2,1,1,1,7,3,3,1,31,13,44,
,ESCI,2,12,,,,,,,,,,,,,4,12,16,
,GEOG,97,57,,,13,4,,,,,4,2,,,118,67,185,
,GEOL,77,51,,,2,8,,1,,,22,8,,2,103,71,174,
,GEOP,16,9,,,,1,1,,1,,23,5,,1,41,16,57,
,GEOS,1,2,,,,,,,,,1,,,,2,2,4,
,METR,74,71,,1,5,1,1,2,,2,4,1,,,84,78,162,
,OCNG,30,21,,,,1,1,,,,15,12,1,,47,34,81,
,Subtotal,318,232,3,3,22,16,5,4,2,3,76,31,4,4,430,293,723,
G. Bush School,BUSH,23,26,3,,2,4,1,,1,,1,1,1,,32,31,63,
of Govt,Subtotal,23,26,3,,2,4,1,,1,,1,1,1,,32,31,63,
Liberal Arts,AMST,3,2,,,,,,,,,,,,,3,2,5,
,ANTH,85,106,1,,7,17,1,4,1,,4,9,1,1,100,137,237,
,ECON,389,116,4,4,27,15,10,9,1,1,62,19,8,5,501,169,670,
,ENGL,150,433,2,9,18,29,1,4,2,1,12,11,3,7,188,494,682,
,FREN,5,9,,1,,,,,,,,,,,5,10,15,
,GERM,5,2,,,,,1,,1,,,,,,7,2,9,
,HIST,310,168,6,5,42,19,5,2,3,3,1,,6,4,373,201,574,
,INTS,69,130,2,6,16,30,2,8,,,1,1,2,,92,175,267,
,JOUL,,3,,,2,1,,,,,,,,,2,4,6,
,JOUR,171,507,3,21,18,47,7,7,1,3,1,1,3,8,204,594,798,
,MODL,4,2,,,1,3,,,,,1,3,,,6,8,14,
,MUSC,3,2,,1,2,,,,,,,,,,5,3,8,
,PHIL,72,17,,,5,,3,2,,,,,5,,85,19,104,
,POLL,1,,,,,,,,,,,,,,1,,1,
,POLS,446,303,7,16,50,44,7,5,3,4,8,4,9,2,530,378,908,
,PSYC,274,883,6,49,39,118,11,39,2,5,3,8,5,16,340,1118,1458,
,RUSS,6,1,,,,,,,,,,,,1,6,2,8,
,SCOM,178,459,8,9,24,41,3,11,1,4,4,2,2,11,220,537,757,
,SOCI,60,164,2,8,11,23,7,3,,,10,12,,4,90,214,304,
,SPAN,5,37,,,5,10,,,,,1,,,,11,47,58,
,STJR,3,4,,,,,,,,,2,3,,,5,7,12,
,TCMS,2,2,,,,1,,,,,,,1,,3,3,6,
,THAR,12,26,1,1,7,5,,,,,,,,,20,32,52,
,Subtotal,2253,3376,42,130,274,403,58,94,15,21,110,73,45,59,2797,4156,6953,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,,,,,,,,
