"Fall 2001
Geosciences             ATMO GEOG GEPL OCNG
Subtotal
G. Bush School       BUSH  of Govt                    Subtotal
Liberal Arts             ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other Special           CLMD
Populations      COFD INEN SABX SRPH
Subtotal
GRAND Total",White,,Black,,Hispanic,,Asian,,American Indian,,,,International,,Unknown/Other,,,,Total,,"Total
206
185
250
82
723
63
63
237
272
670
682
574
822
104
104
909
29
1458
788
304
6953
1378
422
411
189
97
2497
2472
31
4
2
65
41
2615
3674
3674
16
11
1
37
31
96
44618",
,M,F,M,F,M,F,M,F,M,,F,,M,F,M,,F,,M,F,,
,95,80,,1,5,2,1,2,,,,2,11,4,,3,,,115,91,,
,97,57,3,2,13,4,,1,,1,,,4,2,,,,1,118,67,,
,96,73,,,4,9,3,1,,1,,1,46,13,,,,3,150,100,,
,30,22,,,,1,1,,,,,,15,12,,1,,,47,35,,
,318,232,3,3,22,16,5,4,,2,,3,76,31,,4,,4,430,293,,
,23,26,3,,2,4,1,,,1,,,1,1,,1,,,32,31,,
,23,26,3,,2,4,1,,,1,,,1,1,,1,,,32,31,,
,85,106,1,,7,17,1,4,,1,,,4,9,,1,,1,100,137,,
,72,132,2,6,16,30,2,8,,,,,1,1,,2,,,95,177,,
,389,116,4,4,27,15,10,9,,1,,1,62,19,,8,,5,501,169,,
,150,433,2,9,18,29,1,4,,2,,1,12,11,,3,,7,188,494,,
,310,168,6,5,42,19,5,2,,3,,3,1,,,6,,4,373,201,,
,176,516,3,21,20,49,7,7,,1,,3,3,4,,4,,8,214,608,,
,25,51,,1,6,13,1,,,1,,,2,3,,,,1,35,69,,
,72,17,,,5,,3,2,,,,,,,,5,,,85,19,,
,447,303,7,16,50,44,7,5,,3,,4,8,4,,9,,2,531,378,,
,8,12,1,2,5,1,,,,,,,,,,,,,14,15,,
,274,883,6,49,39,118,11,39,,2,,5,3,8,,5,,16,340,1118,,
,185,475,8,9,28,45,3,11,,1,,4,4,2,,2,,11,231,557,,
,60,164,2,8,11,23,7,3,,,,,10,12,,,,4,90,214,,
,2253,3376,42,130,274,403,58,94,,15,,21,110,73,,45,,59,2797,4156,,
,337,660,17,32,69,104,38,58,,4,,2,18,18,,10,,11,493,885,,
,148,104,4,9,22,9,11,11,,1,,,63,34,,2,,4,251,171,,
,138,166,4,2,13,13,5,6,,1,,,34,20,,2,,7,197,214,,
,81,13,1,,6,1,3,2,,,,,67,11,,4,,,162,27,,
,16,10,,1,1,,,2,,,,,32,35,,,,,49,48,,
,720,953,26,44,111,127,57,79,,6,,2,214,118,,18,,22,1152,1345,,
,673,1351,9,44,78,148,40,70,,5,,9,2,6,,16,,21,823,1649,,
,8,14,,,1,1,,,,,,,4,2,,1,,,14,17,,
,2,2,,,,,,,,,,,,,,,,,2,2,,
,,2,,,,,,,,,,,,,,,,,,2,,
,23,19,2,,3,1,,1,,,,,6,9,,1,,,35,30,,
,12,8,,1,,2,1,,,,,,7,9,,,,1,20,21,,
,718,1396,11,45,82,152,41,71,,5,,9,19,26,,18,,22,894,1721,,
,1652,1366,67,49,197,172,57,41,,9,,8,6,12,,21,,17,2009,1665,,
,1652,1366,67,49,197,172,57,41,,9,,8,6,12,,21,,17,2009,1665,,
,4,4,,,,1,,,,,,,4,3,,,,,8,8,,
,2,4,1,,,,1,1,,,,,1,1,,,,,5,6,,
,1,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,26,11,,,,,26,11,,
,2,12,1,2,3,2,,2,,,,,2,2,,,,3,8,23,,
,9,20,2,2,3,3,1,3,,,,,33,17,,,,3,48,48,,
,17508,16693,431,642,1877,1801,739,616,,118,,88,2516,963,,342,,284,23531,21087,,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,,,,,,,,,,,
