"Fall 2008
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture  ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
65
48
100
30
41
12
16
13
10
64
6
14
14
10
33
476
65
66
27
158
633
633
11
32
244
163
450
150
83
123
125
207
124
55
73
203
53
107
1,303","Sophomore
116
118
133
37
42
52
6
41
22
99
15
29
29
12
73
824
98
1
107
39
245
3
676
1
1
681
2
18
37
313
267
637
133
66
160
84
191
109
113
61
192
48
101
1,258","Junior
199
283
178
71
42
76
25
60
49
142
37
27
89
32
94
1,404
111
16
145
34
306
274
150
293
62
120
210
1,109
7
81
50
507
309
954
99
48
132
95
200
103
223
83
227
50
114
1,374","Senior
179
311
219
89
57
76
27
79
55
173
54
38
115
29
108
1,609
156
9
240
53
458
267
36
325
63
140
192
1,023
28
114
56
610
481
1,289
104
72
143
125
273
144
307
96
254
41
113
1,672","PB
1
1
3
2
1
2
1
1
12
1
2
3
1
3
19
23
2
1
1
3
2
2
1
2
4
1
19","Total
559
761
631
230
184
217
76
193
136
478
112
109
247
83
309
4,325
431
26
560
153
1,170
544
1,495
619
125
261
402
3,446
38
224
175
1,677
1,239
3,353
488
270
559
432
873
482
699
315
880
192
436
5,626",PB,Master,Total,PB,PhD,Total,Professional Veterinary,Total,,
,,,,,,,3,50,53,,11,11,,,623,
,,,,,,,9,69,78,,29,29,,,868,
,,,,,,,4,78,82,,19,19,,,732,
,,,,,,,,15,15,,6,6,,,251,
,,,,,,,,35,35,,32,32,,,251,
,,,,,,,,11,11,,1,1,,,229,
,,,,,,,1,17,18,,12,12,,,106,
,,,,,,,1,35,36,,9,9,,,238,
,,,,,,,,8,8,,5,5,,,149,
,,,,,,,,23,23,,4,4,,,505,
,,,,,,,1,4,5,,6,6,,,123,
,,,,,,,2,15,17,,3,3,,,129,
,,,,,,,,18,18,,11,11,,,276,
,,,,,,,,38,38,,16,16,,,137,
,,,,,,,5,68,73,,34,34,,,416,
,,,,,,,26,484,510,,198,198,,,"5,033",
,,,,,,,1,55,56,,14,14,,,501,
,,,,,,,,,,,,,,,26,
,,,,,,,2,19,21,,,,,,581,
,,,,,,,1,53,54,,8,8,,,215,
,,,,,,,,44,44,,,,,,44,
,,,,,,,4,171,175,,22,22,,,"1,367",
,,,,,,,,85,85,,14,14,,,643,
,,,,,,,1,140,141,,,,,,"1,636",
,,,,,,,,140,140,,6,6,,,765,
,,,,,,,,55,55,,,,,,180,
,,,,,,,,51,51,,8,8,,,320,
,,,,,,,,49,49,,3,3,,,454,
,,,,,,,1,520,521,,31,31,,,"3,998",
,,,,,,,,,,,,,,,38,
,,,,,,,25,88,113,,157,157,,,494,
,,,,,,,1,93,94,,90,90,,,359,
,,,,,,,1,62,63,,26,26,,,"1,766",
,,,,,,,31,160,191,,89,89,,,"1,519",
,,,,,,,58,403,461,,362,362,,,"4,176",
,,,,,,,,38,38,,20,20,,,546,
,,,,,,,,22,22,,13,13,,,305,
,,,,,,,,18,18,,8,8,,,585,
,,,,,,,,,,,5,5,,,5,
,,,,,,,,33,33,,35,35,,,500,
,,,,,,,2,82,84,,20,20,,,977,
,,,,,,,,44,44,,20,20,,,546,
,,,,,,,,14,14,,,,,,713,
,,,,,,,,28,28,,7,7,,,350,
,,,,,,,1,63,64,,25,25,,,969,
,,,,,,,,48,48,,16,16,,,256,
,,,,,,,2,40,42,,3,3,,,481,
,,,,,,,5,430,435,,172,172,,,"6,233",
,,,,,,,86,136,222,,,,,,222,
,,,,,,,86,136,222,,,,,,222,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,
