Top 10,,,,,,,,
Fall 2008  Feeder Patterns New Graduate,,,,,,,,
Country,,,Students  % Total,,,,,
United States,,,1574,,,58.4%,,
India,,,404,,,15.0%,,
"China, People's Rep of",,,254,,,9.4%,,
"Korea, Republic of",,,111,,,4.1%,,
Taiwan,,,58,,,2.2%,,
Turkey,,,24,,,0.9%,,
Mexico,,,18,,,0.7%,,
Iran,,,17,,,0.6%,,
Saudi Arabia,,,17,,,0.6%,,
Colombia,,,15,,,0.6%,,
Texas County   Students  % Total,,,,,,,,
Harris,,236,,,8.8%,,,
Brazos,,198,,,7.3%,,,
Fort Bend,,65,,,2.4%,,,
Bexar,,62,,,2.3%,,,
Tarrant,,55,,,2.0%,,,
Dallas,,52,,,1.9%,,,
Travis,,46,,,1.7%,,,
Montgomery,,42,,,1.6%,,,
Collin,,29,,,1.1%,,,
Denton,,27,,,1.0%,,,
State,Students  % Total,,,,,,,
Texas,1219,,,45.2%,,,,
California,49,,,1.8%,,,,
Florida,22,,,0.8%,,,,
Illinois,18,,,0.7%,,,,
Georgia,13,,,0.5%,,,,
Louisiana,13,,,0.5%,,,,
Utah,13,,,0.5%,,,,
Ohio,13,,,0.5%,,,,
Michigan,12,,,0.4%,,,,
New Mexico,12,,,0.4%,,,,
