"Fall 2008
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
785
1,041
892
340
437
322
172
282
197
719
209
203
355
205
532
6,691
727
37
793
365
69
1,991
823
2,140
938
324
414
548
5,187
48
779
575
2,191
1,835
5,428
773
482
925
11
881
1,526
1,300
919
755
1,532
352
846
10,302
289
289",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,179,444,2,4,25,29,4,4,2,2,35,54,1,,248,537,,
,404,464,20,54,33,44,1,4,1,3,4,6,1,2,464,577,,
,493,239,10,3,68,39,6,2,6,1,10,12,3,,596,296,,
,28,223,,5,7,26,3,8,1,,12,26,,1,51,289,,
,131,120,15,4,27,26,30,15,1,1,30,33,2,2,236,201,,
,97,132,7,18,27,22,5,4,,2,4,2,,2,140,182,,
,63,43,6,3,24,17,2,3,1,,3,6,1,,100,72,,
,55,183,2,2,13,13,,1,,,6,6,,1,76,206,,
,98,51,,2,13,8,,2,1,,12,10,,,124,73,,
,432,73,15,5,95,32,25,6,3,,22,11,,,592,127,,
,61,62,12,2,16,24,6,9,1,,8,6,,2,104,105,,
,58,71,1,3,11,10,,2,3,1,22,20,,1,95,108,,
,147,129,6,5,19,10,1,3,2,1,23,6,3,,201,154,,
,28,109,,4,6,10,2,2,1,2,16,24,,1,53,152,,
,193,223,6,5,35,37,5,,4,1,13,8,2,,258,274,,
,"2,467","2,566",102,119,419,347,90,65,27,14,220,230,13,12,"3,338","3,353",,
,245,256,6,8,36,65,16,12,3,1,36,40,3,,345,382,,
,7,19,1,1,1,3,1,2,,2,,,,,10,27,,
,74,507,3,6,13,60,2,11,1,5,34,73,,4,127,666,,
,77,138,1,5,16,29,5,3,,1,37,51,,2,136,229,,
,9,35,1,,2,6,1,4,,,4,6,,1,17,52,,
,412,955,12,20,68,163,25,32,4,9,111,170,3,7,635,"1,356",,
,348,295,14,4,41,38,33,27,3,1,11,5,2,1,452,371,,
,827,809,49,33,142,99,40,53,5,4,22,44,,13,"1,085","1,055",,
,282,483,9,9,25,53,19,28,2,4,8,11,2,3,347,591,,
,66,114,3,4,9,20,4,10,,,27,66,,1,109,215,,
,155,165,7,8,28,19,13,4,,2,7,6,,,210,204,,
,352,102,5,4,36,10,10,8,3,1,9,8,,,415,133,,
,"2,030","1,968",87,62,281,239,119,130,13,12,84,140,4,18,"2,618","2,569",,
,16,22,1,,2,2,2,,,,1,,1,1,23,25,,
,314,180,55,34,81,55,7,11,3,2,21,9,5,2,486,293,,
,326,33,26,8,108,16,12,1,3,2,31,8,1,,507,68,,
,"1,089",677,43,36,138,113,27,17,7,2,10,25,1,6,"1,315",876,,
,"1,410",109,72,17,121,16,30,2,3,2,37,10,6,,"1,679",156,,
,"3,155","1,021",197,95,450,202,78,31,16,8,100,52,14,9,"4,010","1,418",,
,76,470,2,16,21,83,3,23,,2,12,63,1,1,115,658,,
,135,170,8,4,28,27,17,44,,,13,32,1,3,202,280,,
,152,433,3,13,38,54,31,38,1,3,52,105,1,1,278,647,,
,1,4,1,1,,,,1,,,,2,,1,2,9,,
,43,457,7,17,10,82,9,36,1,3,36,173,1,6,107,774,,
,192,785,5,15,38,140,12,43,1,1,57,234,1,2,306,"1,220",,
,51,495,7,36,19,118,8,77,,6,78,402,,3,163,"1,137",,
,93,620,6,19,26,107,3,29,,6,3,7,,,131,788,,
,73,277,11,11,37,76,4,15,1,3,49,194,,4,175,580,,
,129,840,10,17,16,117,8,40,1,6,63,279,,6,227,"1,305",,
,41,215,2,4,8,31,4,17,1,,4,23,,2,60,292,,
,81,400,4,11,10,44,8,33,,,48,203,,4,151,695,,
,"1,067","5,166",66,164,251,879,107,396,6,30,415,"1,717",5,33,"1,917","8,385",,
,90,132,4,6,8,17,3,2,,,11,11,1,4,117,172,,
,90,132,4,6,8,17,3,2,,,11,11,1,4,117,172,,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,
