"Fall 2008
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
31-39
40+
Classification                 Freshman Sophomore Junior Senior
Tuition Status                Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status           Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt: TAMU                Less Than Half Time
Status                             Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,Black,,,Hispanic,,,Asian,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,To,t,
,"2,967","2,951","5,918",159,145,304,690,625,"1,315",171,242,413,22,23,45,28,59,87,6,5,11,"4,043","4,050",,"8,093",
,23,12,35,5,3,8,6,3,9,3,6,9,,1,1,2,2,4,,,,39,27,,66,
,"2,944","2,936","5,880",154,142,296,684,621,"1,305",168,236,404,22,22,44,25,57,82,6,5,11,"4,003","4,019",,"8,022",
,,2,2,,,,,1,1,,,,,,,,,,,,,,3,,3,
,,,,,,,,,,,,,,,,1,,1,,,,1,,,1,
,,1,1,,,,,,,,,,,,,,,,,,,,1,,1,
,"2,742","2,653","5,395",154,138,292,627,579,"1,206",150,210,360,20,21,41,27,55,82,6,4,10,"3,726","3,660",,"7,386",
,206,269,475,4,5,9,55,37,92,17,25,42,1,2,3,,4,4,,1,1,283,343,,626,
,19,25,44,1,2,3,8,9,17,4,5,9,1,,1,1,,1,,,,34,41,,75,
,,4,4,,,,,,,,2,2,,,,,,,,,,,6,,6,
,"2,765","2,722","5,487",151,138,289,664,597,"1,261",159,230,389,20,20,40,6,6,12,6,4,10,"3,771","3,717",,"7,488",
,51,31,82,3,2,5,3,3,6,3,,3,,1,1,18,41,59,,,,78,78,,156,
,151,198,349,5,5,10,23,25,48,9,12,21,2,2,4,4,12,16,,1,1,194,255,,449,
,"2,864","2,814","5,678",154,140,294,682,615,"1,297",166,234,400,22,22,44,,,,6,5,11,"3,894","3,830",,"7,724",
,102,135,237,5,5,10,8,10,18,5,8,13,,1,1,,,,,,,120,159,,279,
,1,2,3,,,,,,,,,,,,,28,59,87,,,,29,61,,90,
,273,241,514,2,2,4,28,19,47,5,6,11,2,2,4,,3,3,3,,3,313,273,,586,
,5,7,12,,,,,1,1,,1,1,,,,,,,,,,5,9,,14,
,4,12,16,1,1,2,1,4,5,,,,,,,2,3,5,,,,8,20,,28,
,"1,403","1,688","3,091",104,93,197,371,384,755,78,131,209,10,14,24,14,30,44,2,5,7,"1,982","2,345",,"4,327",
,"1,275",999,"2,274",52,49,101,290,216,506,88,103,191,10,7,17,11,22,33,1,,1,"1,727","1,396",,"3,123",
,7,4,11,,,,,1,1,,1,1,,,,1,1,2,,,,8,7,,15,
,273,241,514,2,2,4,28,19,47,5,6,11,2,2,4,,3,3,3,,3,313,273,,586,
,5,7,12,,,,,1,1,,1,1,,,,,,,,,,5,9,,14,
,4,11,15,1,1,2,1,4,5,,,,,,,2,3,5,,,,8,19,,27,
,"2,685","2,692","5,377",156,142,298,661,601,"1,262",166,235,401,20,21,41,26,53,79,3,5,8,"3,717","3,749",,"7,466",
,"1,438","1,714","3,152",75,94,169,274,300,574,90,160,250,11,15,26,28,58,86,5,4,9,"1,921","2,345",,"4,266",
,"1,529","1,237","2,766",84,51,135,416,325,741,81,82,163,11,8,19,,1,1,1,1,2,"2,122","1,705",,"3,827",
,"2,366","2,431","4,797",74,84,158,337,288,625,128,178,306,15,19,34,4,5,9,5,3,8,"2,929","3,008",,"5,937",
,38,25,63,7,7,14,4,10,14,5,9,14,1,,1,24,54,78,,,,79,105,,184,
,563,495,"1,058",78,54,132,349,327,676,38,55,93,6,4,10,,,,1,2,3,"1,035",937,,"1,972",
,"1,128",980,"2,108",47,49,96,185,154,339,57,67,124,9,4,13,12,31,43,5,,5,"1,443","1,285",,"2,728",
,"1,839","1,971","3,810",112,96,208,505,471,976,114,175,289,13,19,32,16,28,44,1,5,6,"2,600","2,765",,"5,365",
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,,,,,,,,,
