"Fall 2008
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture  ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
1
1
1
1
4
4
3
1
4
1
1
4
1
7","Sophomore
3
2
1
1
1
1
3
1
13
1
2
3
3
3
1
1
1
1
2
2
1
1
4
1
13","Junior
2
2
1
1
2
8
2
1
3
2
2
5
1
3
13
3
2
5
1
1
1
2
5","Senior
2
1
2
1
1
1
2
1
1
12
2
2
1
5
2
1
1
1
5
1
1
4
6
1
1
3
2
7","PB
1
1","Total
4
4
6
1
2
2
1
3
1
4
2
3
2
35
3
2
6
1
12
4
9
6
2
4
25
1
4
8
3
16
2
4
3
2
5
6
3
6
1
32",PB,Master,Total,PB,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,,1,1,,,4,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,4,
,,,,,,,,1,1,,,,,,3,
,,,,,,,,,,,,,,,3,
,,,,,,,,2,2,,1,1,,,5,
,,,,,,,,4,4,,2,2,,,41,
,,,,,,,,,,,1,1,,,4,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,1,1,,,13,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,25,
,,,,,,,,,1,,3,3,,,5,
,,,,,,,,,,,1,1,,,5,
,,,,,,,,1,1,,,,,,9,
,,,,,,,,1,1,,1,1,,,5,
,,,,,,,1,2,3,,5,5,,,24,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,1,1,,,4,
,,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,,6,
,,,,,,,,,,,,,,,6,
,,,,,,,,1,1,,,,,,4,
,,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,,1,
,,,,,,,,2,2,,2,2,,,36,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,
