Fall 2008,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
"Engineering        AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN MSEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG USEN WMHS",,"41
35
62
73
11
5
3
1
69
83
11
16
54
115
18
29
1
7
12
2
27
47
17
55
1
54
75
9
14
5
18
36
45
11
5","219
250
76
94
96
78
59
39
204
226
147
136
205
407
184
213
3
6
121
163
8
99
237
98
173
1
297
542
5
70
125
42
130
197
203
8
4
1","2
5
3
3
1
1
1
1
1
2
1
2
2
1
4
2
3
1
5
6
1
3
6
2
1
1
4
1","9
7
3
1
8
3
3
2
7
6
4
2
7
5
19
12
1
4
6
2
7
7
4
3
14
2
2
3
9
2","13
8
15
13
3
2
4
1
20
17
2
3
17
15
7
7
1
8
4
1
2
12
12
24
6
10
1
1
2
2
4
5
5
2
2","49
34
13
14
33
12
14
10
26
26
14
23
38
69
46
48
2
25
32
18
32
27
47
56
61
3
9
13
8
25
19
25
7
1","3
7
9
3
2
14
17
2
2
5
6
4
4
1
1
1
1
3
1
6
2
2
1
3
5
2","13
10
24
20
7
9
9
12
21
17
12
8
8
27
27
29
1
1
6
14
1
2
7
5
9
8
32
8
6
1
7
18
15
1
1","1
1
1
1
1
1","2
1
1
2
1
1
1
1
3
2
1
2
2
2
2
1
5","1
8
12
10
14
4
38
26
1
53
4
60
1
2
3
46
63
11
4
1
2
43
5
3","3
53
2
29
3
50
11
65
12
80
2
113
6
3
196
16
308
2
2
3
3
1
1
5
187
6
262
33
5
17
2
33
169
34","1
1
1
1
1","1
1
2
2
1
2
2
1
2
1
3
1
2
4
1
1
1
3
1
1","57
55
89
111
20
21
8
17
108
157
43
23
79
193
34
104
2
17
21
3
33
60
39
134
2
64
161
17
11
23
8
26
91
60
16
7
3","295
355
119
160
147
155
97
128
272
357
2
293
178
263
704
297
613
7
12
159
220
10
124
285
145
423
1
373
920
41
95
164
54
198
415
280
16
6
1
1","352
410
208
271
167
176
105
145
380
514
2
336
201
342
897
331
717
7
14
176
241
13
157
345
184
557
3
437
1081
58
106
187
62
224
506
340
32
13
3
1
1",
,Subtotal,"1,067","5,166",66,164,251,879,107,396,6,30,415,"1,717",5,33,"1,917","8,385",10302,
G. Bush,CAIA,20,39,1,3,2,8,2,2,,,4,6,1,1,23,49,72,
"School of
Govt",CHLS,"5
7","12
3",,,,2,,,,,,,,,"7
8","14
4","21
12",
,INTA,29,48,2,,3,2,1,,,,,,,2,39,61,100,
,PSAA,29,30,1,3,3,5,,,,,7,5,,1,40,44,84,
,Subtotal,90,132,4,6,8,17,3,2,,,11,11,1,4,117,172,289,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,,
