Fall 2008,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,AGBL,146,-0.7%,1,0.0%,17,112.5%,1,100.0%,0,-100.0%,2,-50.0%,1,100.0%,168,5.0%,
,AGBU,117,36.0%,,,10,400.0%,2,100.0%,,,20,300.0%,,,149,60.2%,
,AGCJ,121,27.4%,3,50.0%,11,22.2%,0,-100.0%,,,,,,,135,25.0%,
,AGEC,360,4.3%,5,66.7%,27,8.0%,5,66.7%,4,0.0%,67,4.7%,0,-100.0%,468,5.2%,
,AGED,82,-2.4%,9,-10.0%,4,-20.0%,1,0.0%,0,-100.0%,5,66.7%,1,0.0%,102,-2.9%,
,AGEN,22,-57.7%,0,-100.0%,4,33.3%,1,0.0%,0,-100.0%,1,0.0%,,,28,-53.3%,
,AGLS,184,-27.8%,23,-42.5%,40,-34.4%,9,-30.8%,2,0.0%,3,-40.0%,2,-60.0%,263,-31.0%,
,AGRO,104,-6.3%,2,0.0%,9,28.6%,2,-50.0%,3,0.0%,6,200.0%,1,0.0%,127,-2.3%,
,AGSC,86,7.5%,,,5,-16.7%,,,,,,,,,91,5.8%,
,AGSM,132,10.9%,2,-33.3%,10,-9.1%,3,-25.0%,,,1,100.0%,1,0.0%,149,8.0%,
,ALED,559,-3.3%,58,3.6%,56,16.7%,4,-60.0%,4,-20.0%,4,100.0%,2,100.0%,687,-1.7%,
,ANBR,4,33.3%,,,,,,,,,,,,,4,33.3%,
,ANSC,691,-3.9%,11,22.2%,104,10.6%,7,-12.5%,7,-12.5%,11,10.0%,3,0.0%,834,-2.0%,
,BAEN,91,26.4%,3,0.0%,18,200.0%,7,75.0%,1,0.0%,35,6.1%,,,155,30.3%,
,BESC,106,1.9%,14,16.7%,34,13.3%,15,25.0%,1,100.0%,1,0.0%,,,171,7.5%,
,BICH,158,-3.7%,14,55.6%,33,13.8%,34,3.0%,1,100.0%,47,-17.5%,2,-50.0%,289,-2.4%,
,BIOT,5,100.0%,,,1,100.0%,,,,,33,100.0%,,,39,100.0%,
,BSEN,5,0.0%,,,0,-100.0%,,,,,,,,,5,-16.7%,
,CDEV,4,100.0%,1,100.0%,,,,,,,,,,,5,100.0%,
,DASC,4,-20.0%,,,2,100.0%,,,,,1,0.0%,,,7,0.0%,
,ECOR,8,100.0%,,,0,-100.0%,,,,,,,,,8,60.0%,
,ENST,8,-27.3%,1,0.0%,1,-75.0%,,,,,,,,,10,-37.5%,
,ENTO,85,-5.6%,5,25.0%,30,-14.3%,4,-33.3%,1,0.0%,9,0.0%,1,0.0%,135,-7.5%,
,FISC,2,100.0%,1,100.0%,,,,,,,,,,,3,200.0%,
,FIVL,21,100.0%,4,100.0%,11,100.0%,1,100.0%,,,,,,,37,100.0%,
,FLOR,3,0.0%,1,100.0%,,,,,,,0,-100.0%,,,4,0.0%,
,FORS,24,-14.3%,1,-50.0%,1,100.0%,,,,,3,-50.0%,,,29,-19.4%,
,FSTC,82,32.3%,7,250.0%,28,75.0%,3,-25.0%,,,23,360.0%,,,143,60.7%,
,GENE,97,9.0%,5,400.0%,20,-16.7%,13,44.4%,1,0.0%,17,142.9%,2,-33.3%,155,15.7%,
,HORT,145,1.4%,1,0.0%,21,61.5%,2,-33.3%,1,0.0%,19,5.6%,,,189,5.6%,
,MEPS,10,100.0%,,,2,100.0%,,,,,12,100.0%,,,24,100.0%,
,NRDV,8,14.3%,,,1,100.0%,,,,,1,0.0%,,,10,25.0%,
,NUSC,414,-2.1%,12,-20.0%,97,14.1%,27,-3.6%,3,50.0%,6,200.0%,0,-100.0%,559,0.5%,
,NUTR,22,100.0%,1,100.0%,2,100.0%,,,,,15,100.0%,,,40,100.0%,
,PLBR,15,36.4%,2,0.0%,2,0.0%,,,,,12,33.3%,0,-100.0%,31,24.0%,
,PLPA,8,-11.1%,,,5,25.0%,,,,,13,8.3%,2,100.0%,28,7.7%,
,POSC,124,-3.1%,4,33.3%,20,17.6%,2,-33.3%,4,100.0%,12,20.0%,1,-50.0%,167,1.2%,
,PREP,20,11.1%,2,0.0%,0,-100.0%,1,0.0%,,,4,-20.0%,,,27,0.0%,
,PSSC,2,0.0%,,,1,0.0%,,,,,1,0.0%,,,4,0.0%,
,RENR,32,23.1%,,,3,200.0%,1,0.0%,,,,,,,36,28.6%,
,RLEM,130,-9.1%,3,100.0%,18,-10.0%,,,,,4,-33.3%,1,0.0%,156,-8.2%,
,RPTS,270,-6.6%,10,-9.1%,29,-19.4%,4,0.0%,3,-40.0%,29,-3.3%,3,0.0%,348,-7.9%,
,SOSC,11,-15.4%,,,2,100.0%,1,0.0%,,,9,50.0%,,,23,15.0%,
,SPSA,41,7.9%,,,4,-42.9%,0,-100.0%,,,,,,,45,-2.2%,
,TOXI,,,,,1,100.0%,,,,,,,,,1,100.0%,
,USAL,55,450.0%,5,400.0%,9,100.0%,0,-100.0%,,,1,0.0%,,,70,438.5%,
,WFSC,396,-1.2%,10,25.0%,71,9.2%,5,25.0%,5,-16.7%,20,11.1%,2,100.0%,509,1.4%,
,WISC,12,0.0%,,,1,100.0%,,,,,,,,,13,8.3%,
,WMHS,7,100.0%,,,1,100.0%,,,,,3,100.0%,,,11,100.0%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,
