Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Peru,1,5,13,,19,
Philippines,3,9,3,,15,
Poland,1,,3,,4,
Portugal,1,,,,1,
Qatar,3,1,,,4,
Romania,2,3,2,,7,
Russia,3,7,8,,18,
Rwanda,,,2,,2,
Saudi Arabia,29,21,11,,61,
Serbia,,3,2,,5,
Singapore,4,3,1,,8,
Slovakia,,1,,,1,
Solomon Islands,1,,,,1,
South Africa,3,,3,,6,
Spain,8,5,,,13,
Sri Lanka (Ceylon),4,4,6,,14,
St. Lucia,,1,,,1,
Sudan,1,,1,,2,
Sweden,2,2,2,,6,
Switzerland,,1,,,1,
Syria,1,1,1,,3,
Taiwan,4,84,130,,218,
Tanzania,1,1,1,,3,
Thailand,1,23,21,,45,
Togo,,,1,,1,
Trinidad & Tobago,4,5,2,,11,
Tunisia,1,1,1,,3,
Turkey,,37,42,,79,
Turkmenistan,2,,,1,3,
Uganda,1,,1,,2,
Ukraine,,3,7,,10,
United Arab Emirates,5,2,2,,9,
United Kingdom,13,8,3,,24,
United States,"37,831","3,654","1,825",502,"43,812",
Uruguay,1,,2,,3,
Uzbekistan,,,3,,3,
Venezuela,10,10,5,,25,
Viet Nam Socialist Republic,10,10,12,,32,
Yemen,,,1,,1,
"Zambia
Zimbabwe (Rhodesia)",3,,2,,"3
2",
