"Fall 2008
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture  ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
2
1
2
1
6
1
1
1
1
3
2
6
5
2
8
1
1
1
9
38","Sophomore
1
1
2
4
2
2
5
5
1
4
5
2
9
4
5
15
3
4
6
2
14
64","Junior
2
3
1
3
2
3
1
1
16
6
2
8
4
4
2
10
1
1
2
5
3
15
3
3
17
3
14
9
1
28
101","Senior
2
1
1
2
4
1
1
1
1
14
2
1
3
4
2
1
1
2
10
1
2
1
4
5
7
19
6
4
23
4
14
9
3
18
112","PB
1
1
1
1
2","Total
6
4
2
3
10
3
2
7
1
1
1
40
10
2
1
13
8
10
4
1
1
2
26
1
2
1
6
3
13
15
12
49
18
14
64
10
33
25
7
70
317",PB,Master,Total,PB,PhD,Total,Professional Veterinary,Total,,
,,,,,,,3,36,36,,47,47,,,89,
,,,,,,,,3,3,,3,3,,,10,
,,,,,,,,10,13,,7,7,,,22,
,,,,,,,,22,22,,13,13,,,38,
,,,,,,,,19,19,,34,34,,,63,
,,,,,,,,3,3,,,,,,6,
,,,,,,,,1,1,,8,8,,,9,
,,,,,,,,4,4,,8,8,,,12,
,,,,,,,,5,5,,15,15,,,22,
,,,,,,,,13,13,,13,13,,,33,
,,,,,,,,7,7,,6,6,,,14,
,,,,,,,,31,31,,11,11,,,42,
,,,,,,,,4,4,,24,24,,,29,
,,,,,,,,19,19,,20,20,,,40,
,,,,,,,,7,7,,14,14,,,21,
,,,,,,,3,184,187,,223,223,,,450,
,,,,,,,,43,43,,23,23,,,76,
,,,,,,,,105,105,,,,,,107,
,,,,,,,,56,56,,31,31,,,88,
,,,,,,,,10,10,,,,,,10,
,,,,,,,,214,214,,54,54,,,281,
,,,,,,,,7,7,,1,1,,,16,
,,,,,,,,56,56,,,,,,66,
,,,,,,,,6,6,,9,9,,,19,
,,,,,,,,89,89,,3,3,,,93,
,,,,,,,,8,8,,4,4,,,13,
,,,,,,,,6,6,,9,9,,,17,
,,,,,,,,172,172,,26,26,,,224,
,,,,,,,,,,,,,,,1,
,,,,,,,1,11,12,,16,16,,,30,
,,,,,,,,18,18,,20,20,,,39,
,,,,,,,,13,13,,16,16,,,35,
,,,,,,,,17,17,,27,27,,,47,
,,,,,,,1,59,60,,79,79,,,152,
,,,,,,,,23,23,,37,37,,,75,
,,,,,,,,14,14,,19,19,,,45,
,,,,,,,,44,44,,64,64,,,157,
,,,,,,,,,,,2,2,,,2,
,,,,,,,,110,110,,81,81,,,209,
,,,,,,,,168,168,,109,109,,,291,
,,,,,,,1,266,267,,149,149,,,480,
,,,,,,,,,,,,,,,10,
,,,,,,,,173,173,,37,37,,,243,
,,,,,,,4,213,217,,100,100,,,342,
,,,,,,,,10,10,,10,10,,,27,
,,,,,,,3,114,117,,64,64,,,251,
,,,,,,,8,"1,135","1,143",,672,672,,,"2,132",
,,,,,,,,22,22,,,,,,22,
,,,,,,,,22,22,,,,,,22,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,
