Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
France,8,21,6,,35,
Gabon Republic,2,,,,2,
Georgia (C.I.S.),,1,,,1,
Germany,4,13,7,,24,
Ghana,3,7,,,10,
Greece,1,4,3,,8,
Grenada,1,,,,1,
Guatemala,6,6,6,,18,
Honduras,9,2,,,11,
Hong Kong,7,2,2,,11,
Hungary,1,,,,1,
Iceland,,1,1,,2,
India,70,886,205,,"1,161",
Indonesia,14,30,8,,52,
Iran,2,29,35,,66,
Iraq,3,2,1,,6,
Ireland,,,1,,1,
Israel,1,,,,1,
Italy,2,6,3,,11,
Jamaica,4,5,3,,12,
Japan,8,10,17,,35,
Jordan,2,7,2,,11,
Kazakhstan,38,10,1,,49,
Kenya,,8,1,,9,
"Korea, Republic of",23,178,311,,512,
Kuwait,2,,2,,4,
Latvia,2,,,,2,
Lebanon,2,5,6,,13,
Macao,1,1,,,2,
Macedonia,,,2,,2,
Malaysia,25,5,5,,35,
Mauritius,,1,1,,2,
Mexico,35,42,50,,127,
Mongolia,,1,1,,2,
Morocco,1,,1,,2,
Nepal,18,13,5,,36,
Netherlands,1,1,1,,3,
New Zealand,2,4,,,6,
Nicaragua,6,,,,6,
Nigeria,15,26,8,,49,
Norway,6,2,1,,9,
Oman,,1,2,,3,
Pakistan,8,14,7,,29,
Panama,7,6,2,,15,
Paraguay,,2,1,,3,
Page 77,,,,,,
