"Fall 2008
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
64
37
109
42
88
2
27
9
5
77
8
8
11
7
31
525
89
72
39
200
810
810
1
5
36
227
153
422
209
154
202
161
269
200
54
95
260
80
133
1,817
33
12
10
22
77","1st Time PB
1
1
1
3
1
1
1
1
2
1
5
2
2","1st Time Transfer
75
70
68
18
5
21
1
15
13
33
6
12
16
11
24
388
18
38
13
69
22
45
15
6
4
6
98
18
28
96
112
254
10
4
27
23
22
45
61
23
45
3
7
270
4
8
11
14
37","Readmitted
6
40
7
6
2
26
4
8
3
4
5
1
10
7
129
10
7
17
2
6
2
2
2
2
16
3
10
1
18
13
45
2
3
6
7
3
12
3
3
1
4
44
1
2
1
4","Continuing
483
762
573
212
209
256
92
179
142
542
159
116
250
81
310
4,366
454
37
547
149
1,187
673
1,021
731
160
324
471
3,380
44
266
201
1,703
1,135
3,349
423
241
546
1
399
830
536
774
368
772
169
448
5,507
97
37
118
153
405",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,1,36,1,59,5,1,56,,,785,
,,,,,,11,26,,51,3,,39,,,"1,041",
,,,,,,5,25,,72,1,,30,,,892,
,,,,,,,15,,27,,,20,,,340,
,,,,,,1,25,,34,1,,72,,,437,
,,,,,,,5,,11,,,1,,,322,
,,,,,,,5,,20,3,,20,,,172,
,,,,,,1,14,,34,,,22,,,282,
,,,,,,,7,,7,1,,19,,,197,
,,,,,,,26,,17,3,,16,,,719,
,,,,,,1,7,,10,2,,11,,,209,
,,,,,,,27,1,23,1,,14,,,203,
,,,,,,,8,,19,2,,39,,,355,
,,,,,,,20,,44,,,42,,,205,
,,,,,,5,21,1,69,8,2,54,,,532,
,,,,,,25,267,3,497,30,3,455,,,"6,691",
,,,,,,1,42,,68,7,,37,,,727,
,,,,,,,,,,,,,,,37,
,,,,,,2,70,,57,,,,,,793,
,,,,,,2,48,,71,4,1,38,,,365,
,,,,,,,18,,51,,,,,,69,
,,,,,,5,178,,247,11,1,75,,,"1,991",
,,,,,,,60,,48,5,,13,,,823,
,,,,,,1,142,,115,,,,,,"2,140",
,,,,,,,86,,88,5,,11,,,938,
,,,,,,,85,,68,2,,1,,,324,
,,,,,,,39,,32,4,,9,,,414,
,,,,,,,28,,29,2,,10,,,548,
,,,,,,1,440,,380,18,,44,,,"5,187",
,,,,,,,,,,,,,,,48,
,,,,,,33,71,,86,39,4,247,,,779,
,,,,,,1,61,1,84,14,,148,,,575,
,,,,,,2,35,1,56,13,,40,,,"2,191",
,,,,,,37,91,2,108,20,2,162,,,"1,835",
,,,,,,73,258,4,334,86,6,597,,,"5,428",
,,,,,,,26,,41,4,1,56,,,773,
,,,,,,,25,,20,4,,33,,,482,
,,,,,,,32,,38,7,,68,,,925,
,,,,,,,,,,,,10,,,11,
,,,,,,,68,2,89,6,1,125,,,881,
,,,,,,1,126,,134,14,,123,,,"1,526",
,,,,,,1,120,,211,17,,167,,,"1,300",
,,,,,,,8,,10,,,,,,919,
,,,,,,,99,,117,5,,45,,,755,
,,,,,,5,137,1,170,32,,107,,,"1,532",
,,,,,,1,18,2,46,4,,28,,,352,
,,,,,,,80,,103,10,,61,,,846,
,,,,,,8,739,5,979,103,2,823,,,"10,302",
,,,,,,62,88,,139,,,,,,289,
,,,,,,62,88,,139,,,,,,289,
,,,,,,,7,,19,3,,23,,,189,
,,,,,,1,,,1,,,,,,59,
,,,,,,5,21,,20,1,1,33,,,222,
,,,,,,,22,,42,2,,32,,,288,
,,,,,,,17,,22,3,,37,,,79,
,,,,,,6,67,,104,9,1,125,,,837,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,
