Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
G. Bush,BUSH,,,0,-100.0%,,,,,0,-100.0%,
"School of
Govt",CAIA CHLS,,,"72
21","20.0%
-34.4%",,,,,"72
21","20.0%
-34.4%",
,CNPM,,,12,500.0%,,,,,12,500.0%,
,INTA,,,100,16.3%,,,,,100,16.3%,
,PSAA,,,84,100.0%,,,,,84,100.0%,
,Subtotal,,,289,14.7%,,,,,289,14.7%,
Geosciences,ATMO,57,11.8%,26,-7.1%,26,8.3%,,,52,0.0%,
,ENGS,,,,,,,,,57,11.8%,
,ENST,43,43.3%,,,,,,,43,43.3%,
,ESCI,1,0.0%,,,,,,,1,0.0%,
,GEOG,86,-18.9%,27,28.6%,34,-2.9%,,,147,-9.3%,
,GEOL,145,9.0%,51,45.7%,19,-5.0%,,,215,14.4%,
,GEOP,44,91.3%,12,-14.3%,11,0.0%,,,67,39.6%,
,GEOS,,,3,0.0%,,,,,3,0.0%,
,METR,137,-2.1%,,,,,,,137,-2.1%,
,OCNG,,,39,2.6%,40,11.1%,,,79,6.8%,
,SPSG,12,140.0%,,,,,,,12,140.0%,
,WMHS,,,19,100.0%,5,100.0%,,,24,100.0%,
,Subtotal,525,7.4%,177,27.3%,135,7.1%,,,837,11.0%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
