"Fall 2008
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
31-39
40+
Classification                 Freshman Sophomore Junior Senior
Tuition Status                Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status           Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt: TAMU                Less Than Half Time
Status                             Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,Black,,,,,Hispanic,,,,Asian,,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,
,F,M,Tot,F,,M,,Tot,F,,M,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,,Tot,,
,255,139,394,,16,,4,20,,53,33,86,,8,10,18,1,,1,3,3,6,,,,336,,189,,525,
,2,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,
,253,139,392,,16,,4,20,,53,33,86,,8,10,18,1,,1,2,3,5,,,,333,,189,,522,
,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,1,
,228,128,356,,16,,4,20,,45,30,75,,8,7,15,1,,1,3,3,6,,,,301,,172,,473,
,25,10,35,,,,,,,8,3,11,,,2,2,,,,,,,,,,33,,15,,48,
,2,1,3,,,,,,,,,,,,1,1,,,,,,,,,,2,,2,,4,
,228,127,355,,15,,4,19,,51,31,82,,8,10,18,1,,1,,,,,,,303,,172,,475,
,1,,1,,1,,,1,,,,,,,,,,,,2,2,4,,,,4,,2,,6,
,26,12,38,,,,,,,2,2,4,,,,,,,,1,1,2,,,,29,,15,,44,
,239,132,371,,15,,4,19,,53,31,84,,8,10,18,1,,1,,,,,,,316,,177,,493,
,16,7,23,,1,,,1,,,2,2,,,,,,,,,,,,,,17,,9,,26,
,,,,,,,,,,,,,,,,,,,,3,3,6,,,,3,,3,,6,
,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,112,79,191,,7,,3,10,,30,16,46,,4,5,9,1,,1,3,2,5,,,,157,,105,,262,
,141,59,200,,9,,1,10,,23,17,40,,4,5,9,,,,,1,1,,,,177,,83,,260,
,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,254,138,392,,16,,4,20,,53,33,86,,8,10,18,1,,1,3,3,6,,,,335,,188,,523,
,115,75,190,,12,,3,15,,11,17,28,,2,5,7,,,,3,3,6,,,,143,,103,,246,
,140,64,204,,4,,1,5,,42,16,58,,6,5,11,1,,1,,,,,,,193,,86,,279,
,200,108,308,,8,,,8,,22,14,36,,4,7,11,,,,,,,,,,234,,129,,363,
,3,6,9,,1,,1,2,,1,1,2,,1,1,2,1,,1,3,3,6,,,,10,,12,,22,
,52,25,77,,7,,3,10,,30,18,48,,3,2,5,,,,,,,,,,92,,48,,140,
,100,53,153,,8,,1,9,,15,10,25,,2,4,6,,,,2,2,4,,,,127,,70,,197,
,155,86,241,,8,,3,11,,38,23,61,,6,6,12,1,,1,1,1,2,,,,209,,119,,328,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
