Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Afghanistan,1,2,,,3,
Albania,,,1,,1,
Angola,9,,,,9,
Antigua and Barbuda,,,1,,1,
Argentina,1,3,1,,5,
Armenia,,1,3,,4,
Australia,3,,,,3,
Austria,2,1,1,,4,
Azerbaijan,,3,,,3,
"Bahamas, The",,1,,,1,
Bahrain,2,1,1,,4,
Bangladesh,2,12,8,,22,
Barbados,1,1,1,,3,
Belarus,1,,2,,3,
Belgium,3,2,,,5,
Belize (British Honduras),1,1,,,2,
Bhutan,,1,,,1,
Bolivia,8,4,2,,14,
Botswana,,,1,,1,
Brazil,5,11,15,,31,
Bulgaria,1,,3,,4,
Cambodia (Kampuchea),,,1,,1,
Cameroon,5,2,3,,10,
Canada,23,6,17,,46,
Cayman Islands,1,,,,1,
Chad,1,,,,1,
Chile,,2,6,,8,
"China, People's Rep of",31,437,351,,819,
Colombia,4,26,29,,59,
Costa Rica,4,2,,,6,
Cote d'Ivoire (Ivory Coast),3,,,,3,
Croatia,1,,,,1,
Cyprus,1,1,,,2,
Czech Republic,,1,,,1,
Dem Republic of Congo (Ziare),,,1,,1,
Denmark,1,4,,,5,
Dominica,,,1,,1,
Dominican Republic,,1,1,,2,
Ecuador,2,9,9,,20,
Egypt (A.R.E.),2,5,17,,24,
El Salvador,9,1,1,,11,
Equatorial Guinea,4,,,,4,
Eritrea,1,,,,1,
Estonia,1,,,,1,
Ethiopia,2,1,3,,6,
