"Fall 2008
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal
Other - Special        CLMD Populations             MARS
SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
3
1
2
2
2
10
3
1
4
1
1
25
25
57","Sophomore
3
1
3
7
1
1
1
3
1
1
12
12
56","Junior
1
1
2
2
1
2
1
3
1
4
14
6
6
1
1
1
1
58","Senior
1
1
1
2
2
1
1
1
1
9
1
1
2
3
3
50","PB
1","Total
1
1
1
3
1
5
8
2
5
1
4
5
9
40
10
2
2
1
15
6
6
38
38
222",PB,Master,Total,PB,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,,1,1,2,2,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,1,1,,,5,
,,,,,,,,1,1,,,,,,2,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,1,1,,,6,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,9,
,,,,,,,,,,,2,2,,,2,
,,,,,,,,1,1,,4,4,,,45,
,,,,,,,,,,,,,,,10,
,,,,,,,,1,1,,2,2,,,5,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,2,2,,,3,
,,,,,,,,1,1,,4,4,,,20,
,,,,,,,,,,,,,,,8,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,1,1,2,2,9,
,,,,,,,,,,,,,,,38,
,,,,,,,,,,,,,,,38,
,,,,,,,,11,12,,20,20,2,2,256,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,
