"Fall 2008
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal
Other - Special        CLMD Populations             MARS
SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
2
2
5
2
3
3
1
1
2
1
6
24
57
10
5
2
74
42
42
140
140
440","Sophomore
2
2
3
3
3
6
5
1
7
9
2
39
56
6
5
1
68
35
35
95
95
429","Junior
2
2
3
2
7
12
7
1
2
13
19
3
69
63
3
1
2
69
39
39
5
5
457","Senior
1
4
1
6
9
3
13
6
1
4
7
16
4
63
45
5
2
5
57
40
40
430","PB
1
1
3","Total
3
6
3
12
6
19
15
34
21
2
8
1
29
1
50
9
195
221
24
13
11
269
156
156
240
240
1,759",PB,Master,Total,PB,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,,1,1,18,18,3,
,,,,,,,,,,,,,,,7,
,,,,,,,,1,2,,,,,,5,
,,,,,,,,,,,,,,,1,
,,,,,,,1,2,3,,1,1,,,16,
,,,,,,,,1,1,,2,2,,,9,
,,,,,,,,,,,,,,,19,
,,,,,,,,,,,1,1,,,16,
,,,,,,,1,3,4,,1,1,,,39,
,,,,,,,,1,1,,1,1,,,23,
,,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,,1,
,,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,2,2,,,31,
,,,,,,,,,,,,,,,1,
,,,,,,,,3,3,,2,2,,,55,
,,,,,,,,1,1,,3,3,,,13,
,,,,,,,1,10,11,,12,12,,,218,
,,,,,,,,,,,2,2,,,223,
,,,,,,,,3,3,,8,8,,,35,
,,,,,,,1,2,3,,,,,,16,
,,,,,,,,3,3,,4,4,,,18,
,,,,,,,,3,3,,1,1,,,4,
,,,,,,,1,11,12,,15,15,,,296,
,,,,,,,,1,1,,,,,,175,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,2,2,,,2,
,,,,,,,,1,1,,,,,,1,
,,,,,,,,2,2,,3,3,18,18,179,
,,,,,,,,,,,,,,,240,
,,,,,,,,,,,,,,,240,
,,,,,,,14,154,168,,82,82,18,18,"2,027",
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,
