"Fall 2008
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture  ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
1
1
3
9
1
2
1
18
3
1
1
5
20
20
3
5
8
9
21
19
8
9
18
2
3
6
5
7
107","Sophomore
1
8
1
4
2
1
2
2
21
2
3
2
7
44
1
45
1
10
4
15
4
7
19
10
15
16
5
6
8
7
5
102","Junior
2
2
1
2
11
7
1
2
11
7
1
1
1
49
4
2
2
2
10
31
8
18
8
4
8
77
4
1
16
9
30
6
9
17
6
8
23
8
6
10
2
12
107","Senior
2
1
3
4
17
1
3
1
13
5
1
1
1
53
11
1
6
1
19
20
3
15
5
8
9
60
2
6
1
10
8
27
6
16
11
9
12
14
17
1
10
2
7
105","PB
1
1
1
1","Total
5
3
7
9
45
9
5
1
2
30
15
2
4
2
3
142
20
3
12
6
41
51
75
34
13
12
17
202
2
11
2
39
26
80
25
53
67
33
44
71
32
16
34
16
31
422",PB,Master,Total,PB,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,,1,1,,,8,
,,,,,,,,2,2,,,,,,5,
,,,,,,,,1,1,,,,,,8,
,,,,,,,,1,1,,1,1,,,11,
,,,,,,,,,,,,,,,45,
,,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,1,1,,,31,
,,,,,,,,,,,,,,,15,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,4,
,,,,,,,,2,2,,,,,,4,
,,,,,,,,1,1,,1,1,,,5,
,,,,,,,,9,9,,4,4,,,155,
,,,,,,,,4,5,,3,3,,,28,
,,,,,,,,,,,,,,,3,
,,,,,,,,1,1,,,,,,13,
,,,,,,,,1,1,,1,1,,,8,
,,,,,,,,5,5,,,,,,5,
,,,,,,,1,11,12,,4,4,,,57,
,,,,,,,,7,7,,2,2,,,60,
,,,,,,,,18,18,,,,,,93,
,,,,,,,,12,12,,1,1,,,47,
,,,,,,,,1,1,,,,,,14,
,,,,,,,,5,5,,,,,,17,
,,,,,,,,1,1,,,,,,18,
,,,,,,,,44,44,,3,3,,,249,
,,,,,,,,,,,,,,,2,
,,,,,,,2,1,3,,4,4,,,18,
,,,,,,,,5,5,,6,6,,,13,
,,,,,,,,4,4,,1,1,,,44,
,,,,,,,,3,3,,3,3,,,32,
,,,,,,,2,13,15,,14,14,,,109,
,,,,,,,1,,1,,,,,,26,
,,,,,,,,5,5,,3,3,,,61,
,,,,,,,,2,2,,,,,,69,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,6,6,,6,6,,,45,
,,,,,,,,6,6,,5,5,,,55,
,,,,,,,,7,7,,7,7,,,85,
,,,,,,,,,,,,,,,32,
,,,,,,,,3,3,,,,,,19,
,,,,,,,1,11,12,,2,2,,,48,
,,,,,,,1,3,4,,1,1,,,21,
,,,,,,,1,8,9,,1,1,,,41,
,,,,,,,4,51,55,,26,26,,,503,
,,,,,,,4,1,5,,,,,,5,
,,,,,,,4,1,5,,,,,,5,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,
