"Fall 2008
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts            ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                   BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies      GEST
Subtotal
Other - Special        CLMD
Populations    COFD MARB MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,133,-7.6%,1,-50.0%,25,25.0%,0,-100.0%,,1,100.0%,26,18.2%,,3,0.0%,189,-1.6%,
,46,-4.2%,,,8,166.7%,3,50.0%,,,,1,100.0%,,1,0.0%,59,9.3%,
,160,10.3%,5,66.7%,16,45.5%,7,0.0%,,2,0.0%,31,14.8%,,1,-50.0%,222,12.7%,
,203,16.7%,4,300.0%,16,14.3%,5,25.0%,,2,0.0%,56,36.6%,,2,100.0%,288,21.5%,
,48,20.0%,0,-100.0%,3,-25.0%,1,0.0%,,,,27,-3.6%,,,,79,6.8%,
,590,7.1%,10,42.9%,68,30.8%,16,6.7%,,5,25.0%,141,19.5%,,7,0.0%,837,11.0%,
,187,0.0%,5,66.7%,28,21.7%,9,28.6%,,2,0.0%,14,-22.2%,,3,-25.0%,248,1.6%,
,384,1.1%,12,9.1%,108,21.3%,19,11.8%,,5,25.0%,5,0.0%,,2,0.0%,535,5.3%,
,880,-4.3%,28,21.7%,103,19.8%,16,14.3%,,8,14.3%,15,25.0%,,4,-33.3%,"1,054",-1.3%,
,326,-2.7%,6,20.0%,46,-22.0%,39,25.8%,,2,-33.3%,109,13.5%,,2,0.0%,530,-0.2%,
,574,-9.6%,29,-3.3%,83,9.2%,23,15.0%,,6,20.0%,29,-3.3%,,,,744,-6.5%,
,27,28.6%,1,-66.7%,5,150.0%,2,-33.3%,,1,-50.0%,1,-50.0%,,2,100.0%,39,18.2%,
,73,35.2%,2,100.0%,59,7.3%,1,-50.0%,,,,6,100.0%,,,,141,23.7%,
,627,-1.7%,12,-29.4%,89,11.3%,8,14.3%,,4,-20.0%,3,50.0%,,3,-25.0%,746,-0.9%,
,101,6.3%,3,100.0%,13,18.2%,1,-66.7%,,1,-50.0%,0,-100.0%,,4,100.0%,123,7.0%,
,664,-2.4%,47,20.5%,136,-0.7%,31,19.2%,,5,400.0%,11,-35.3%,,5,0.0%,899,-0.7%,
,55,17.0%,4,-20.0%,23,21.1%,1,0.0%,,,,,,,,,83,15.3%,
,889,9.1%,55,-3.5%,212,23.3%,55,17.0%,,9,12.5%,7,-22.2%,,9,125.0%,"1,236",11.2%,
,270,-4.3%,45,9.8%,89,23.6%,13,-27.8%,,2,-33.3%,12,9.1%,,5,25.0%,436,1.2%,
,"5,057",-0.6%,249,6.4%,994,12.8%,218,11.2%,,45,7.1%,212,2.4%,,39,18.2%,"6,814",2.0%,
,"1,046",-9.5%,57,-6.6%,283,13.2%,223,4.7%,,10,42.9%,51,37.8%,,3,-25.0%,"1,673",-3.2%,
,300,-0.3%,15,-11.8%,56,-1.8%,35,0.0%,,5,-16.7%,117,0.9%,,3,0.0%,531,-0.7%,
,1,100.0%,,,,,,,,,,,,,,,1,100.0%,
,276,-3.5%,6,-14.3%,50,35.1%,16,23.1%,,2,0.0%,73,12.3%,,,,423,3.2%,
,148,7.2%,5,150.0%,28,21.7%,18,-25.0%,,3,0.0%,81,-4.7%,,1,0.0%,284,2.9%,
,63,12.5%,3,50.0%,5,150.0%,4,-33.3%,,,,60,-6.3%,,1,0.0%,136,3.8%,
,"1,834",-5.3%,86,-3.4%,422,14.4%,296,1.7%,,20,11.1%,382,4.1%,,8,-11.1%,"3,048",-1.0%,
,"1,722",-5.6%,47,-17.5%,345,5.8%,175,-8.9%,,8,-27.3%,9,80.0%,,8,-11.1%,"2,314",-4.6%,
,28,27.3%,1,100.0%,0,-100.0%,1,0.0%,,0,-100.0%,18,100.0%,,1,100.0%,49,44.1%,
,6,0.0%,,,,,,,,,,,,,,,6,0.0%,
,1,0.0%,,,1,0.0%,,,,,,7,133.3%,,,,9,80.0%,
,28,3.7%,2,0.0%,4,-20.0%,2,0.0%,,1,0.0%,8,-38.5%,,1,-50.0%,46,-11.5%,
,16,60.0%,1,-50.0%,,,1,100.0%,,,,6,-45.5%,,1,0.0%,25,4.2%,
,"1,801",-4.8%,51,-16.4%,350,5.1%,179,-8.2%,,9,-30.8%,48,17.1%,,11,-8.3%,"2,449",-3.8%,
,"3,633",11.1%,228,47.1%,706,20.7%,240,20.6%,,38,0.0%,57,78.1%,,8,60.0%,"4,910",14.6%,
,"3,633",11.1%,228,47.1%,706,20.7%,240,20.6%,,38,0.0%,57,78.1%,,8,60.0%,"4,910",14.6%,
,5,400.0%,,,1,100.0%,0,-100.0%,,,,4,-60.0%,,2,0.0%,12,-14.3%,
,0,-100.0%,0,-100.0%,0,-100.0%,0,-100.0%,,,,0,-100.0%,,0,-100.0%,0,-100.0%,
,0,-100.0%,,,,,,,,,,,,,,,0,-100.0%,
,1,-50.0%,,,,,,,,,,,,,,,1,-50.0%,
,1,0.0%,,,0,-100.0%,,,,,,61,-4.7%,,2,100.0%,64,-3.0%,
,8,-11.1%,2,0.0%,2,100.0%,,,,,,3,50.0%,,1,0.0%,16,14.3%,
,15,-90.1%,2,-77.8%,3,-75.0%,0,-100.0%,,,,68,-71.2%,,5,-16.7%,93,-78.1%,
,"33,959",0.8%,"1,560",10.4%,"5,867",11.1%,"2,027",8.1%,,256,1.6%,"4,169",8.7%,,201,7.5%,"48,039",3.2%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,,
