"Fall 2008
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal
Other - Special        CLMD Populations             MARS
SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
1
7
8
1
1
2
1
5
2
2
1
1
48
48
12
12
122","Sophomore
3
3
1
1
1
1
2
1
7
2
1
3
8
8
14
14
115","Junior
1
3
4
1
1
2
4
4
1
2
1
8
1
1
1
1
14
14
169","Senior
1
1
2
1
2
7
1
1
12
3
3
1
1
7
7
168","PB
1
1
4","Total
1
1
1
15
18
1
5
2
10
3
1
1
1
3
1
28
7
1
6
2
16
3
3
57
57
47
47
578",PB,Master,Total,PB,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,7,7,,18,18,,,26,
,,,,,,,,,,,,,,,1,
,,,,,,,,9,10,,20,20,,,31,
,,,,,,,,20,20,,21,21,,,56,
,,,,,,,,9,9,,18,18,,,27,
,,,,,,,1,45,46,,77,77,,,141,
,,,,,,,2,4,6,,7,7,,,14,
,,,,,,,,,,,,,,,5,
,,,,,,,1,5,6,,7,7,,,15,
,,,,,,,,53,53,,46,46,,,109,
,,,,,,,,1,1,,25,25,,,29,
,,,,,,,,,,,,,,,1,
,,,,,,,,4,4,,1,1,,,6,
,,,,,,,,1,1,,2,2,,,3,
,,,,,,,,2,2,,8,8,,,11,
,,,,,,,,1,1,,3,3,,,7,
,,,,,,,,3,3,,8,8,,,12,
,,,,,,,3,74,77,,107,107,,,212,
,,,,,,,,17,17,,27,27,,,51,
,,,,,,,,59,59,,57,57,,,117,
,,,,,,,1,24,25,,42,42,,,73,
,,,,,,,,28,28,,51,51,,,81,
,,,,,,,,28,28,,32,32,,,60,
,,,,,,,1,156,157,,209,209,,,382,
,,,,,,,,2,2,,4,4,,,9,
,,,,,,,,11,11,,7,7,,,18,
,,,,,,,,6,6,,1,1,,,7,
,,,,,,,,2,2,,6,6,,,8,
,,,,,,,,1,1,,5,5,,,6,
,,,,,,,,22,22,,23,23,,,48,
,,,,,,,,,,,,,,,57,
,,,,,,,,,,,,,,,57,
,,,,,,,4,,4,,,,,,4,
,,,,,,,14,,14,,,,,,61,
,,,,,,,3,,3,,,,,,3,
,,,,,,,21,,21,,,,,,68,
,,,,,,,38,"2,083","2,121",,"1,470","1,470",,,"4,169",
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,
