"Fall 2008
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD Populations              MARS SABX
SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
189
59
222
288
79
837
248
535
1,054
530
744
39
141
746
123
899
83
1,236
436
6,814
1,673
531
1
423
284
136
3,048
2,314
49
6
9
46
25
2,449
4,910
4,910
12
1
64
16
93
48,039",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,58,75,,1,14,11,,,,1,9,17,,3,81,108,,
,19,27,,,4,4,,3,,,,1,1,,24,35,,
,55,105,3,2,6,10,2,5,1,1,9,22,,1,76,146,,
,65,138,3,1,5,11,1,4,1,1,22,34,1,1,98,190,,
,30,18,,,1,2,,1,,,12,15,,,43,36,,
,227,363,6,4,30,38,3,13,2,3,52,89,2,5,322,515,,
,118,69,3,2,20,8,4,5,1,1,5,9,1,2,152,96,,
,248,136,8,4,79,29,15,4,5,,2,3,2,,359,176,,
,668,212,19,9,82,21,8,8,7,1,7,8,4,,795,259,,
,59,267,1,5,11,35,9,30,1,1,38,71,,2,119,411,,
,447,127,22,7,62,21,13,10,4,2,17,12,,,565,179,,
,15,12,,1,1,4,1,1,1,,1,,2,,21,18,,
,56,17,2,,37,22,1,,,,1,5,,,97,44,,
,226,401,5,7,23,66,3,5,2,2,1,2,,3,260,486,,
,26,75,2,1,2,11,,1,,1,,,2,2,32,91,,
,247,417,34,13,66,70,18,13,4,1,5,6,2,3,376,523,,
,34,21,2,2,11,12,1,,,,,,,,48,35,,
,645,244,45,10,162,50,39,16,7,2,5,2,6,3,909,327,,
,194,76,31,14,57,32,11,2,1,1,10,2,2,3,306,130,,
,"2,983","2,074",174,75,613,381,123,95,33,12,92,120,21,18,"4,039","2,775",,
,620,426,39,18,176,107,117,106,6,4,34,17,2,1,994,679,,
,131,169,8,7,25,31,19,16,2,3,36,81,1,2,222,309,,
,1,,,,,,,,,,,,,,1,,,
,133,143,3,3,22,28,9,7,1,1,20,53,,,188,235,,
,21,127,2,3,4,24,3,15,2,1,10,71,,1,42,242,,
,25,38,1,2,1,4,2,2,,,31,29,,1,60,76,,
,931,903,53,33,228,194,150,146,11,9,131,251,3,5,"1,507","1,541",,
,"1,205",517,32,15,238,107,112,63,5,3,3,6,7,1,"1,602",712,,
,22,6,,1,,,1,,,,12,6,1,,36,13,,
,5,1,,,,,,,,,,,,,5,1,,
,1,,,,,1,,,,,3,4,,,4,5,,
,21,7,2,,2,2,2,,1,,5,3,1,,34,12,,
,9,7,,1,,,,1,,,5,1,,1,14,11,,
,"1,263",538,34,17,240,110,115,64,6,3,28,20,9,2,"1,695",754,,
,"1,674","1,959",109,119,326,380,92,148,17,21,15,42,6,2,"2,239","2,671",,
,"1,674","1,959",109,119,326,380,92,148,17,21,15,42,6,2,"2,239","2,671",,
,5,,,,1,,,,,,2,2,2,,10,2,,
,1,,,,,,,,,,,,,,1,,,
,,1,,,,,,,,,15,46,1,1,16,48,,
,5,3,1,1,2,,,,,,1,2,1,,10,6,,
,11,4,1,1,3,,,,,,18,50,4,1,37,56,,
,"16,310","17,649",845,715,"2,917","2,950",905,"1,122",135,121,"1,277","2,892",85,116,"22,474","25,565",,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,
