"Fall 2008
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture  ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
1
1
1
1
1
1
1
2
1
6","Sophomore
1
1
1
1
4
1
1
1
1
1
3
1
1","Junior
1
2
1
1
1
1
7
2
2
2
1
3
1
2
1
4
1
1
1
1
1
1
3
1
2
12","Senior
1
1
2
3
3
2
2
4
1
2
3
6
2
1
1
2
6","PB
1
1","Total
1
2
2
1
2
2
1
1
2
14
2
4
6
2
1
4
1
8
2
2
5
5
14
1
3
1
1
3
2
3
3
5
1
2
25",PB,Master,Total,PB,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,,1,1,,,1,
,,,,,,,,,,,,,,,3,
,,,,,,,,1,1,,,,,,3,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,,4,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,,,,,,1,
,,,,,,,,2,2,,,,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,2,2,,,3,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,7,7,,4,4,,,25,
,,,,,,,,1,1,,,,,,3,
,,,,,,,,,,,,,,,4,
,,,,,,,,1,1,,1,1,,,2,
,,,,,,,,1,1,,,,,,1,
,,,,,,,,3,3,,1,1,,,10,
,,,,,,,,,,,1,1,,,3,
,,,,,,,,12,12,,,,,,13,
,,,,,,,,1,1,,,,,,5,
,,,,,,,,,,,,,,,1,
,,,,,,,,13,13,,1,1,,,22,
,,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,4,4,,,7,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,2,2,,,7,
,,,,,,,,,,,1,1,,,6,
,,,,,,,,1,1,,8,8,,,23,
,,,,,,,,1,1,,,,,,2,
,,,,,,,,1,1,,,,,,4,
,,,,,,,,1,1,,,,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,2,2,,2,2,,,7,
,,,,,,,,1,1,,,,,,3,
,,,,,,,,,,,,,,,3,
,,,,,,,,1,1,,,,,,4,
,,,,,,,,,,,1,1,,,6,
,,,,,,,,1,1,,,,,,2,
,,,,,,,,2,2,,,,,,4,
,,,,,,,,10,10,,3,3,,,38,
,,,,,,,,3,5,,,,,,5,
,,,,,,,2,3,5,,,,,,5,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,
