Fall 2008,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Other -               AGBU
Special               BIOT
Populations       ENSM
FSTC GENE MARB MARM MDSC MEPS MSEN NUTR PHLT REEP TOXI WMHS",,"0
0
0
0
0
0
1
5
0
0
0
8
1
0
0","-100.0%
-100.0%
-100.0%
-100.0%
-100.0%
-100.0%
-50.0%
400.0%
-100.0%
-100.0%
-100.0%
-11.1%
0.0%
-100.0%
-100.0%","0
0
0
2
0","-100.0%
-100.0%
-100.0%
0.0%
-100.0%","0
0
0
0
1
0
0
2
0
0
0","-100.0%
-100.0%
-100.0%
-100.0%
100.0%
-100.0%
-100.0%
100.0%
-100.0%
-100.0%
-100.0%","0
0
0
0
0
0
0","-100.0%
-100.0%
-100.0%
-100.0%
-100.0%
-100.0%
-100.0%",,,"0
0
0
0
0
4
0
0
0
3
61
0
0","-100.0%
-100.0%
-100.0%
-100.0%
-100.0%
-60.0%
-100.0%
-100.0%
-100.0%
50.0%
-4.7%
-100.0%
-100.0%","2
0
1
2
0
0","0.0%
-100.0%
0.0%
100.0%
-100.0%
-100.0%","0
0
0
0
0
0
1
12
0
0
0
16
64
0
0","-100.0%
-100.0%
-100.0%
-100.0%
-100.0%
-100.0%
-50.0%
-14.3%
-100.0%
-100.0%
-100.0%
14.3%
-3.0%
-100.0%
-100.0%",
,Subtotal,15,-90.1%,2,-77.8%,3,-75.0%,0,-100.0%,,,68,-71.2%,5,-16.7%,93,-78.1%,
Total,,"33,959",0.8%,"1,560",10.4%,"5,867",11.1%,"2,027",8.1%,256,1.6%,"4,169",8.7%,201,7.5%,"48,039",3.2%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
