"Fall 2008
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture  ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
7
2
19
8
17
2
9
2
1
18
1
3
1
8
98
20
18
18
56
111
111
13
41
21
75
34
16
22
35
42
36
10
18
43
10
16
282","Sophomore
7
9
23
5
13
6
6
5
5
11
4
5
5
7
111
19
13
6
38
86
1
87
2
13
39
18
72
24
12
25
16
32
23
19
19
23
8
9
210","Junior
23
25
29
9
8
24
8
4
5
45
13
2
3
5
16
219
25
2
15
7
49
41
24
34
11
18
26
154
1
13
12
71
28
125
21
11
14
17
46
31
35
28
28
8
7
246","Senior
13
35
28
8
7
15
12
5
9
45
17
8
17
2
19
240
30
2
25
7
64
30
2
33
10
25
19
119
3
25
38
86
40
192
17
11
26
14
52
31
65
35
23
4
13
291","PB
1
1
2
2
1
1
1
5","Total
50
71
100
30
45
47
35
16
20
120
35
18
26
7
50
670
94
4
71
38
207
71
223
67
22
43
45
471
4
40
76
237
107
464
96
50
87
82
174
122
130
100
117
31
45
1,034",PB,Master,Total,PB,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,3,3,,1,1,,,54,
,,,,,,,,2,3,,3,3,,,77,
,,,,,,,,4,4,,3,3,,,107,
,,,,,,,,3,3,,,,,,33,
,,,,,,,1,2,3,,5,5,,,53,
,,,,,,,,2,2,,,,,,49,
,,,,,,,,5,5,,1,1,,,41,
,,,,,,,,7,7,,3,3,,,26,
,,,,,,,,1,1,,,,,,21,
,,,,,,,,7,7,,,,,,127,
,,,,,,,,4,4,,1,1,,,40,
,,,,,,,,2,2,,1,1,,,21,
,,,,,,,,2,2,,1,1,,,29,
,,,,,,,,4,4,,5,5,,,16,
,,,,,,,,9,9,,13,13,,,72,
,,,,,,,2,57,59,,37,37,,,766,
,,,,,,,,4,4,,3,3,,,101,
,,,,,,,,,,,,,,,4,
,,,,,,,1,1,2,,,,,,73,
,,,,,,,1,5,6,,1,1,,,45,
,,,,,,,,8,8,,,,,,8,
,,,,,,,2,18,20,,4,4,,,231,
,,,,,,,,8,8,,,,,,79,
,,,,,,,,18,18,,,,,,241,
,,,,,,,,11,11,,,,,,78,
,,,,,,,,7,7,,,,,,29,
,,,,,,,,4,4,,,,,,47,
,,,,,,,,1,1,,,,,,46,
,,,,,,,,49,49,,,,,,520,
,,,,,,,,,,,,,,,4,
,,,,,,,6,28,34,,62,62,,,136,
,,,,,,,,23,23,,25,25,,,124,
,,,,,,,1,10,11,,3,3,,,251,
,,,,,,,2,12,14,,16,16,,,137,
,,,,,,,9,73,82,,106,106,,,652,
,,,,,,,,4,4,,4,4,,,104,
,,,,,,,,3,3,,2,2,,,55,
,,,,,,,,4,4,,1,1,,,92,
,,,,,,,,5,5,,5,5,,,92,
,,,,,,,,2,2,,2,2,,,178,
,,,,,,,,9,9,,6,6,,,137,
,,,,,,,,3,3,,,,,,133,
,,,,,,,,9,9,,4,4,,,113,
,,,,,,,,12,12,,4,4,,,133,
,,,,,,,,4,4,,4,4,,,39,
,,,,,,,,7,7,,2,2,,,54,
,,,,,,,,62,62,,34,34,,,"1,130",
,,,,,,,12,13,25,,,,,,25,
,,,,,,,12,13,25,,,,,,25,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,
