Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,525,7.4%,177,27.3%,135,7.1%,,,837,11.0%,
Gender,Female,200,9.9%,73,17.7%,49,22.5%,,,322,13.4%,
,Male,325,5.9%,104,35.1%,86,0.0%,,,515,9.6%,
Ethnicity,White,425,0.7%,114,32.6%,51,18.6%,,,590,7.1%,
,Black,6,100.0%,2,-33.3%,2,100.0%,,,10,42.9%,
,Hispanic,59,47.5%,9,-25.0%,,,,,68,30.8%,
,Asian,12,-14.3%,3,100.0%,1,0.0%,,,16,6.7%,
,American Indian,3,50.0%,1,0.0%,1,0.0%,,,5,25.0%,
,International,18,157.1%,46,31.4%,77,1.3%,,,141,19.5%,
,Unknown/Other,2,100.0%,2,0.0%,3,-25.0%,,,7,0.0%,
TAMU Age,<18,2,100.0%,,,,,,,2,100.0%,
Categories,18-21,323,7.7%,,,,,,,323,7.7%,
,22-25,176,13.5%,98,27.3%,4,-33.3%,,,278,16.8%,
,26-30,16,-5.9%,48,33.3%,61,7.0%,,,125,13.6%,
,31-39,4,-66.7%,25,8.7%,57,21.3%,,,86,4.9%,
,40+,4,-20.0%,6,100.0%,13,-18.8%,,,23,-4.2%,
Enrollment,1st Time in College,77,0.0%,,,,,,,77,0.0%,
Status,1st Time PB,2,100.0%,6,500.0%,,,,,8,700.0%,
,1st Time Graduate,,,67,48.9%,9,-43.8%,,,76,24.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,37,12.1%,,,,,,,37,12.1%,
,Readmitted,4,-33.3%,,,1,100.0%,,,5,-16.7%,
,Continuing,405,8.6%,104,11.8%,125,13.6%,,,634,10.1%,
Tuition,Resident Tuition,476,5.1%,84,37.7%,27,35.0%,,,587,9.9%,
Status,Non-Resident Tuition,24,41.2%,24,71.4%,15,-16.7%,,,63,28.6%,
,Tuition Exemption/Waiver,25,31.6%,69,7.8%,93,5.7%,,,187,9.4%,
Residency,Texas Resident,484,5.4%,86,38.7%,28,33.3%,,,598,10.3%,
Status,"Non-TX, US Resident",22,0.0%,45,7.1%,30,3.4%,,,97,4.3%,
,"Non-TX, Non-US Resident",19,137.5%,46,31.4%,77,1.3%,,,142,19.3%,
SCH,< 6 SCH,4,33.3%,31,82.4%,20,25.0%,,,55,52.8%,
Categories,6-8 SCH,14,-6.7%,10,100.0%,1,-66.7%,,,25,8.7%,
,9-11 SCH,21,-34.4%,130,17.1%,114,8.6%,,,265,6.9%,
,12-14 SCH,243,16.3%,4,-33.3%,0,-100.0%,,,247,13.8%,
,15-17 SCH,223,7.2%,2,100.0%,,,,,225,8.2%,
,>17 SCH,20,-9.1%,,,,,,,20,-9.1%,
Ft/Pt:,Less Than Half Time,4,100.0%,27,58.8%,17,21.4%,,,48,45.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","14
21","0.0%
-34.4%",12,1100.0%,1,-66.7%,,,"27
21","50.0%
-34.4%",
,Full-Time,486,10.2%,138,14.0%,117,7.3%,,,741,10.4%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
