Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Education          CPSY
EDAD EDCI EDHL EDIS EDKI EDSM EDTC EHRD EPSY HEED HLTH HRDL HRDV INST ISNC KINE NUTR PHED SPMT SPSY TCMG TCML TECR USEH",,"448
848
703
304
154
131
71
811
94
220
215
20
28
20
3","53.4%
1.4%
-3.6%
-17.6%
2.0%
100.0%
100.0%
-9.4%
-76.2%
-17.9%
-1.4%
100.0%
100.0%
300.0%
100.0%","80
238
25
110
122
14
75
2
3
0","-3.6%
8.2%
-3.8%
57.1%
9.9%
-6.7%
-15.7%
100.0%
-40.0%
-100.0%","37
197
184
93
79
15
37
1
0
46","12.1%
-3.0%
0.5%
5.7%
0.0%
7.1%
23.3%
100.0%
-100.0%
4.5%",,,"37
277
422
448
848
703
304
25
203
201
29
154
131
71
811
94
332
3
3
215
46
20
28
20
3","12.1%
-3.1%
4.7%
53.4%
1.4%
-3.6%
-17.6%
-3.8%
28.5%
5.8%
0.0%
2.0%
100.0%
100.0%
-9.4%
-76.2%
-14.2%
100.0%
-57.1%
-1.4%
4.5%
100.0%
100.0%
233.3%
100.0%",
,Subtotal,"4,070",-2.1%,669,7.9%,689,1.9%,,,"5,428",-0.5%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
