Country,Undergraduate,Masters,PhD,Professional,Total Students
India,14,308,51,,374
Indonesia,28,20,21,,69
Iran,,3,9,,12
Italy,1,2,2,,5
Jamaica,1,,,,1
Japan,18,4,9,,31
Jordan,3,2,6,,11
Kazakhstan,,3,1,,4
Kenya,,1,,,1
"Korea, Republic of",7,70,224,,301
Kuwait,2,3,2,,7
Laos,,1,,,1
Lebanon,,1,2,,3
Lithuania,,1,,,1
Malaysia,2,3,4,,9
Mali,,,1,,1
Malta,,2,,,2
Mauritius,,,1,,1
Mexico,7,23,43,,73
Morocco,,3,1,,4
Mozambique,,2,,,2
Nepal,,1,1,,2
Netherlands,,,2,,2
Nicaragua,8,1,1,,10
Nigeria,6,5,4,,15
Norway,2,4,1,,7
Oman,2,,,,2
Other Foreign,3,,,,3
Pakistan,6,12,5,,23
Panama,19,1,,,20
Paraguay,,1,,,1
Peru,1,6,3,,10
Philippines,,3,3,,6
Portugal,,,2,,2
Romania,,5,7,,12
Russia,1,13,16,,30
San Marino,,1,,,1
