Summer 2000,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,,
Architecture,ARCH,22,16,3,1,12,1,1,1,1,1,13,17,1,1,40,34,74,
,COMG,9,,,,,,,,,,9,2,,,18,2,20,
,COSC,124,9,2,,,,1,,,,1,,1,,141,10,151,
,COSL,45,3,,,6,1,,,,,,,3,1,54,5,59,
,ENDL,21,43,2,,3,3,4,,,,1,2,,3,32,53,85,
,ENDS,91,78,1,1,17,9,2,2,1,,6,1,,1,118,92,210,
,LADE,2,,,,,,,,,,,1,,,2,1,3,
,LAND,15,14,,,3,,,,,,1,2,,,19,16,35,
,LANL,7,2,,,,,,,,,,1,1,,8,3,11,
,LDEV,10,1,,,1,,,,,,3,1,,,14,2,16,
,URPL,2,2,,,,,,,,,5,,,,7,2,9,
,URSC,7,3,,1,,,,,,,10,,,,17,4,21,
,VIZA,15,5,,,2,2,2,2,,,2,1,,,21,10,31,
,Sub-Total,370,176,8,3,44,16,10,5,2,,51,28,6,6,491,234,725,
Business,ACCT,175,286,3,7,18,24,,6,2,,5,15,3,4,206,343,549,
Admin,AGBU,2,1,,,,,,,,,,,,,2,1,3,
,BUAD,242,194,4,5,19,15,5,11,1,1,25,7,3,3,299,236,535,
,BUAG,1,1,,,,,,,,,,,,,1,1,2,
,FINC,215,163,4,3,18,14,5,3,1,,4,9,2,6,249,198,447,
,INFO,191,120,7,6,13,16,14,14,3,,10,8,5,3,243,167,410,
,MGMT,146,105,1,4,20,16,6,2,1,,11,8,4,2,189,137,326,
,MISY,11,13,,,3,1,1,,,,12,2,,,27,16,43,
,MKTG,124,306,2,10,12,21,1,3,2,,5,8,,6,146,354,500,
,MLER,14,3,,,1,,,,,,2,,,,17,3,20,
,Sub-Total,1121,1192,21,35,104,107,32,39,10,2,74,57,17,24,1379,1456,2835,
Education,CPSY,18,15,,1,2,5,1,,,,,,,1,21,22,43,
,EDAD,68,98,8,18,8,13,,1,1,,1,,1,2,87,132,219,
,EDCI,25,105,3,34,7,20,,3,1,,,10,2,4,38,176,214,
,EDHL,7,73,,7,3,9,1,1,,2,,,1,1,12,93,105,
,EDIS,10,275,,3,1,21,,1,,3,,,,3,11,306,317,
,EDKI,61,68,3,1,10,8,1,1,,,,,2,1,77,79,156,
,EDTC,7,15,,,,,,1,,,3,4,,,10,20,30,
,EHRD,27,55,4,3,1,7,,,,1,2,5,2,1,36,72,108,
,EPSY,17,53,1,3,,11,,2,,2,,4,,,18,75,93,
,HEED,2,9,,1,,,,1,,,,,,,2,11,13,
,HLTH,8,93,1,7,5,14,,2,,2,,,1,,15,118,133,
,IDTC,1,1,,,,,,,,,,,,,1,1,2,
,INST,5,271,,4,3,23,,2,,,,,,3,8,303,311,
,KINE,118,90,1,2,13,8,,,,1,2,1,1,1,135,103,238,
,PHED,7,3,,,2,1,1,,,,,,,1,10,5,15,
,SPSY,2,14,,5,5,9,,,,,1,1,,1,8,30,38,
,TECR,6,7,,,1,,,,,,,,,1,7,8,15,
,Sub-Total,389,1245,21,89,61,149,4,15,2,11,9,25,10,20,496,1554,2050,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,,,,,,,,
